gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
912629753	StillImage	image/jpeg	http://www.kew.org/herbcatimg/422921.jpg	http://specimens.kew.org/herbarium/K000834565									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
912629735	StillImage	image/jpeg	http://www.kew.org/herbcatimg/422912.jpg	http://specimens.kew.org/herbarium/K000834557									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
912629733	StillImage	image/jpeg	http://www.kew.org/herbcatimg/422915.jpg	http://specimens.kew.org/herbarium/K000834560									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
912629731	StillImage	image/jpeg	http://www.kew.org/herbcatimg/422914.jpg	http://specimens.kew.org/herbarium/K000834559									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
912629706	StillImage	image/jpeg	http://www.kew.org/herbcatimg/422913.jpg	http://specimens.kew.org/herbarium/K000834558									http://creativecommons.org/licenses/by/4.0/	Royal Botanic Gardens, Kew
4427235634				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/11/97/72/cen00119772.dzi									http://creativecommons.org/licenses/by/4.0/	CEN
4427233394	StillImage			http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hstm/hstm/0/0/1/78/hstm00000178.dzi									http://creativecommons.org/licenses/by/4.0/	HSTM
4162731174				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/eac/eac/0/4/1/26/eac00040126.dzi									http://creativecommons.org/licenses/by/4.0/	EAC
4073151273	StillImage	image/jpeg	https://oxalis.br.fgov.be/images/BR0/000/029/606/849/BR0000029606849.jpg		Crudia amazonica Spruce ex Benth.	Image of herbarium specimen BR0000029606849				Meise Botanic Garden			http://creativecommons.org/licenses/by-sa/4.0/	Meise Botanic Garden
4073151273	InteractiveResource	application/ld+json	https://iiif-manifest.oxalis.br.fgov.be/specimen/BR0000029606849/manifest		Crudia amazonica Spruce ex Benth.	IIIF Manifest for specimen BR0000029606849				Meise Botanic Garden			http://creativecommons.org/licenses/by-sa/4.0/	Meise Botanic Garden
4072595018	StillImage	image/jpeg	https://oxalis.br.fgov.be/images/BR0/000/029/606/856/BR0000029606856.jpg		Crudia amazonica Spruce ex Benth.	Image of herbarium specimen BR0000029606856				Meise Botanic Garden			http://creativecommons.org/licenses/by-sa/4.0/	Meise Botanic Garden
4072595018	InteractiveResource	application/ld+json	https://iiif-manifest.oxalis.br.fgov.be/specimen/BR0000029606856/manifest		Crudia amazonica Spruce ex Benth.	IIIF Manifest for specimen BR0000029606856				Meise Botanic Garden			http://creativecommons.org/licenses/by-sa/4.0/	Meise Botanic Garden
3331285333	StillImage	image/jpeg	http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/44/25/54/01442554.jpg											
3069792139	StillImage	image/jpeg	http://imagens4.jbrj.gov.br/fsi/server?type=image&source=h/hstm/HSTM000178.jpg	http://www.herbariovirtualreflora.jbrj.gov.br/reflora/geral/ExibeFiguraFSIUC/ExibeFiguraFSIUC.do?idFigura=299167749									http://creativecommons.org/licenses/by/4.0/	HSTM
