gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
930998712										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:178939	178939	283	Clavijo L. | Cordero Z.		1					Fruto								present	Montado	En colección																						2006-02-06				2006	02	06							Árbol. 6 m de altura y 31.5 cm de DAP; corteza blanda y copa angosta; fruto ferrugíneo externamente. internamente blanco verdoso. semillas inmaduras blancas					América del Sur				Colombia	CO	Vaupés	Taraira		Estación Biológica Mosiro Itajura. Caparú. Igapó del lago del grillo o lago Taraira. al interior del Igapó	Estación Biológica Mosiro Itajura. Caparú. Igapó del lago del grillo o Lago Taraira. al interior del Igapó	200	200										-1.0801389	-69.5043611	WGS84	8573			"""""""1°4'48.5""""""""S"""", """"69°30'15.7""""""""W"""""""	"""""""1°4'48.5""""""""S"""""""	"""""""69°30'15.7""""""""W"""""""	Grados, minutos, segundos					Yeison Montoya Présiga	2015-09-11	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 505. 506. 515.516. 525. 526. 526 B. 535. 535 B. 1:100.000. Bogotá D.C.																					Crudia amazonica Spruce ex Benth.			Ruíz L.		2005												Crudia amazonica							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Crudia				amazonica			Especie		Spruce ex Benth.			Aceptado		
930993949										890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PreservedSpecimen				UdeA:HUA:1607	1607	2448	Soejarto D. | Lockwood T.		1					Flor								present	Montado	En colección																						1970-03-28				1970	03	28							Tree. 10 m tall; seeds dirty white					América del Sur				Colombia	CO	Vaupés	Mitú		Río Cuduyarí. confluencia con el río Vaupés. después de Mitú	Río Kudiyari. arriba de la confluencia con el río Vaupés	200	200										1.2798567	-70.2265547	WGS84	2892											Yeison Montoya Présiga	2015-09-10	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 423. 424. 424 B. 442. 443. 443 B. 460. 461. 462. 463. 478. 479. 494. 1:100.000. Bogotá D.C.																					Crudia amazonica Spruce ex Benth.																	Crudia amazonica							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Magnoliophyta	Equisetopsida	Fabales		Fabaceae				Crudia				amazonica			Especie		Spruce ex Benth.			Aceptado		
912629753					2012-09-05 00:00:00.0								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K000834565	K000834565	8170	et al.; Ferreria, C.A.C.																								Projeto Flora Amazônica. Convênio CNPq - NSF															1986-09-16								Mata de igapó, solo arenoso						Árvore de 10 m x 22 cm de diam. Frutos velutíneos, imaturos verdes			Presidente Figueiredo					Brazil	BR			Presidente Figueiredo	Rio Uatumã, margem direita. Igarapé Caititú, a montante da barragem de Balbina. .													-1.5	-59.5															label																							cf.		Grimes, J.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE						LEGUMINOSAE-CAESALPINIOIDEAE				Crudia				amazonica					Spruce					
912629735					2012-09-05 00:00:00.0								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K000834557	K000834557	143	Ferreira, L.V.																								Sheet 1/2 [multiple sheets K000834558]															1992-02-19														Árvore de 8 metros , frutos maduros marrons aveludados.			Manaus					Brazil	BR			Manaus	Ilha de Marchantaria (rio Solimões). Segunda faixa alta de tera a direita no canal que vai para o Lago Camaleão.													-3.25	-60.0															label																									Ferreira, L.V.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE						LEGUMINOSAE-CAESALPINIOIDEAE				Crudia				amazonica					Spruce					
912629733					2012-09-05 00:00:00.0								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K000834560	K000834560	5177	Lima, E.F.; Thomas, W.; Mota, C.D.A.																								Programa Flora. Fieldwork supported by The National Science Foundation and the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq).															1986-06-18								Várzea forest and stream bank vegetation.						Tree, 5-7m. Leaves lustrous green above, pale dull green beneath. Fruit puberulent, pale olive greeen.			Porto Velho					Brazil	BR			Porto Velho	Represa Samuel along igarapé Japím, ca. 2 Hours upstream from dam by boat.													-8.82	-63.33															label																									Barneby, R.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE						LEGUMINOSAE-CAESALPINIOIDEAE				Crudia				amazonica					Spruce					
912629731					2012-09-05 00:00:00.0								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K000834559	K000834559	198	Ferreira, L.V.																																							1992-05-14														"""Árvore de 12 metros; botões florais verdes, flores com cálice verde e corola branca."""			Manaus					Brazil	BR			Manaus	Ilha de Marchantaria. Rio solimões. Segunda faixa de terra a direita no canal que vai para o Lago Camaleão.													-3.25	-60.0															label																									Ferreira, L.V.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE						LEGUMINOSAE-CAESALPINIOIDEAE				Crudia				amazonica					Spruce					
912629706					2012-09-05 00:00:00.0								K	Herbarium			PreservedSpecimen				http://specimens.kew.org/herbarium/K000834558	K000834558	143	Ferreira, L.V.																								Sheet 2/2 [multiple sheets K000834557]															1992-02-19														Árvore de 8 metros, frutos maduros marrons aveludados			Manaus					Brazil	BR			Manaus	Ilha de Marchantaria (Rio Solimões). Segunda faixa alta de terra a direita no canal que vai para o Lago Camaleão.													-3.25	-60.0															label																									Ferreira, L.V.														Crudia amazonica Spruce							LEGUMINOSAE-CAESALPINIOIDEAE						LEGUMINOSAE-CAESALPINIOIDEAE				Crudia				amazonica					Spruce					
768768874							https://herbario.sinchi.org.co/herbario_v/especimenes/ficha/63194/			860.061.110-3	https://www.gbif.org/grscicoll/collection/39da9440-3953-4ef8-97d4-a25c3524bfa6/metrics		Instituto Amazónico de Investigaciones Científicas - SINCHI	COAH			PreservedSpecimen				SINCHI:COAH:63194	63194	20325	Cárdenas, D.	https://orcid.org/0000-0002-7495-7564														present									Ejemplar botánico															2006-12-31				2006	12	31	31/12/2006											América del Sur				Colombia	CO	Guainía	Inírida		vegetación de ribera del río Inírida, zona de rebalse entre Mavicure y chorro Bocón		120	120										3.475	-67.98333333	WGS84																																				Crudia amazonica Benth.			Cordero-P., Z.		2007-06-01												Crudia amazonica							Plantae | Magnoliophyta | Magnoliopsida | Fabales | Caesalpiniaceae | Crudia	Plantae	Magnoliophyta	Magnoliopsida	Fabales		Caesalpiniaceae				Crudia				amazonica			Especie		Benth.					
768752225					2009-11-30		https://herbario.sinchi.org.co/herbario_v/especimenes/ficha/39736/			860.061.110-3	https://www.gbif.org/grscicoll/collection/39da9440-3953-4ef8-97d4-a25c3524bfa6/metrics		Instituto Amazónico de Investigaciones Científicas - SINCHI	COAH			PreservedSpecimen				SINCHI:COAH:39736	39736	11	Duque, A.															present									Ejemplar botánico															1992-06-01				1992	06	01	1/06/1992											América del Sur				Colombia	CO	Amazonas	Puerto Santander		Araracuara, comunidad indígena de Villazul, resguardo indígena Muinane		270	270										-0.533333333	-72.10167	WGS84																																				Crudia amazonica Benth.			Ruíz, L.K.		2009-10-01												Crudia amazonica							Plantae | Magnoliophyta | Magnoliopsida | Fabales | Caesalpiniaceae | Crudia	Plantae	Magnoliophyta	Magnoliopsida	Fabales		Caesalpiniaceae				Crudia				amazonica			Especie		Benth.					
768736256							https://herbario.sinchi.org.co/herbario_v/especimenes/ficha/18078/			860.061.110-3	https://www.gbif.org/grscicoll/collection/39da9440-3953-4ef8-97d4-a25c3524bfa6/metrics		Instituto Amazónico de Investigaciones Científicas - SINCHI	COAH			PreservedSpecimen				SINCHI:COAH:18078	18078	566	Restrepo, D.															present									Ejemplar botánico															1991-11-22				1991	11	22	22/11/1991											América del Sur				Colombia	CO	Amazonas	Mirití - Paraná		Araracuara, qda. El Engaño, 2-10km abajo de la desembocadura													-0.79166	-71.8775	WGS84																																				Crudia amazonica Benth.																	Crudia amazonica							Plantae | Magnoliophyta | Magnoliopsida | Fabales | Caesalpiniaceae | Crudia	Plantae	Magnoliophyta	Magnoliopsida	Fabales		Caesalpiniaceae				Crudia				amazonica			Especie		Benth.					
