gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
931016129			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:91337	91337	2064	Roldán F.;Maza V.;Gutiérrez J.		1					Flor								PRESENT	Montado	En colección																					1993-11-11		315	315	1993	11	11							Bejuco					SOUTH_AMERICA				CO	Antioquia	Remedios		Carretera Remedios - Puerto Berrío	Carretera remedios-Puerto Berrío. Km13-19								6.933333	-74.6	1039.0			Grados, minutos, segundos					Vanessa Fernández Rodríguez	2015-03-03	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 118. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Roldán F.		1996-01-01T00:00:00												Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:18.994Z	600.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:18.994Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.2_2	Antioquia	COL.2.83_2	Remedios			LC
931014532			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:84875	84875	1643	Giraldo D.		1					Flor								PRESENT	Montado	En colección																					1993-01-06		6	6	1993	1	6							Liana					SOUTH_AMERICA				CO	Antioquia	Cocorná		Vereda La Piñuela. carretera a San Francisco	Vereda La Piñuela. carretera a San Francisco								6.033333	-75.133333	4607.0			Grados, minutos, segundos					Yeny María Martínez Figueroa	2015-02-11	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Giraldo D.														Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:14.865Z	850.0	50.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:14.865Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.2_2	Antioquia	COL.2.35_2	Cocorná			LC
931013052			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:78209	78209	563	Giraldo D.		1					Flor								PRESENT	Montado	En colección																					1991-09-26		269	269	1991	9	26							Bejuco muy ramificado					SOUTH_AMERICA				CO	Antioquia	Cocorná		Vereda La Piñuela. carretera a San Francisco	Vereda La Piñuela. carretera a San Francisco								6.033333	-75.133333	4607.0			Grados, minutos, segundos					Yeny María Martínez Figueroa	2015-02-11	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.																	Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:11.204Z	1050.0	150.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:11.204Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.2_2	Antioquia	COL.2.35_2	Cocorná			LC
931012360			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:74949	74949	1856	Ramírez J.;Cárdenas D.		1					Flor								PRESENT	Montado	En colección																					1987-10-26		299	299	1987	10	26							Bejuco					SOUTH_AMERICA				CO	Antioquia	San Luis		Quebrada La Cristalina. sector SE	Quebrada La Cristalina. sector CE								6.038224	-75.003247	1134.0			Grados, minutos, segundos					David Taborda López	2015-04-08	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.																	Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:15.793Z	685.0	85.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:15.793Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.2_2	Antioquia	COL.2.95_2	San Luís			LC
931006906			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:49865	49865	1514	Brant A.;Roldán F.		1					Flor								PRESENT	Montado	En colección																					1987-10-26		299	299	1987	10	26							Twining/sandent vine to ca 5 m; inflorescence with calyx reddish tan					SOUTH_AMERICA				CO	Antioquia	San Rafael		3.1 km E of San Rafael along Guatapé - San Rafael road. ca 0.5 km N of road	3.1 km E of San Rafael along Guatapé-San Rafael road. margin of secondary forest ca 0.5 km N of road								6.3	-75.033333	785.0			Grados, minutos, segundos					Vanessa Fernández Rodríguez	2015-01-22	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 148 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.																	Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:16.179Z	1110.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:16.179Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.2_2	Antioquia	COL.2.98_2	San Rafael			LC
930991875			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:150794	150794	913	David H.;Tuberquia D.;Morales H.;Gaviria J.		1					Estéril								PRESENT	Montado	En colección																					2004				2004									Escandente herbáceo de 0.5 m					SOUTH_AMERICA				CO	Antioquia	Yolombó		Finca San Ignacio	Finca San Ignacio								6.778889	-75.080833	2195.0			Grados, minutos, segundos					Juliana Torres Toro	2015-04-08	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 117. 132. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Idárraga A.		2004-01-01T00:00:00												Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:27.210Z	985.0	0.0				COORDINATE_ROUNDED;RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:27.210Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.2_2	Antioquia	COL.2.5_2	Amalfi			LC
930991412			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:148933	148933	1078	David H.;Felipe Alfonso Cardona Naranjo;Rivas A.;Correa E.		1					Estéril								PRESENT	Montado	En colección																					2005				2005									Escandente leñoso de 10 m de longitud					SOUTH_AMERICA				CO	Caldas	Samaná		Margen derecha del río Moro. sector La Mula	Margen derecha del río Moro. sector La Mula								5.563333	-74.904167	730.0			Grados, minutos, segundos					Yeison Montoya Présiga	2015-08-26	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 188 1:100.000. Bogotá D.C. ASTER Digital Elevation Model V002 (GDEM) Aster GDEM is a product of METI and NASA.																					Barbieria pinnata (Pers.) Baill.			David H.		2005-10-01T00:00:00												Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:21.638Z	600.0	50.0				COORDINATE_ROUNDED;RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:21.638Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.8_2	Caldas	COL.8.15_2	Norcasia			LC
930988705			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:136083	136083	6729	Cárdenas D.;López R.;Oidor M.;Giraldo D.		1					Flor								PRESENT	Montado	En colección																					1995-10-25		298	298	1995	10	25							Bejuco de estambres blancos					SOUTH_AMERICA				CO	Guaviare	San José del Guaviare		Inspección El Capricho	Inspección El Capricho								2.361111	-72.835917	1769.0			Grados, minutos, segundos					David Taborda López	2015-10-02	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 372. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Giraldo D.		1996-01-06T00:00:00												Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:12.361Z	200.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:12.361Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.17_2	Guaviare	COL.17.4_2	San José del Guaviare			LC
930988132			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:133379	133379	2368	Duque A.;Correa M.;Giraldo F.;Hoyos W.		1					Estéril								PRESENT	Montado	En colección																					2001-06-15		166	166	2001	6	15							Escandente leñoso de 0.7 m de altura					SOUTH_AMERICA				CO	Caldas	Victoria		Vereda La Guayana. finca La Maporita	Vereda La Guayana. finca La Maporita								5.522278	-74.903306	973.0			Grados, minutos, segundos					Yeison Montoya Présiga	2015-08-20	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 168. 188 1:100.000. Bogotá D.C. ASTER Digital Elevation Model V002 (GDEM) Aster GDEM is a product of METI and NASA.	Se cambio la localidad debido a que no corresponde con la descripción del sitio. ni las coordenadas.																				Barbieria pinnata (Pers.) Baill.			Correa M;Duque A.		2001-06-15T00:00:00												Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:15.719Z	400.0	0.0				COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:15.719Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.8_2	Caldas	COL.8.22_2	Samaná			LC
930987392			es	CC0_1_0					PhysicalObject	890.980.040-8	https://www.gbif.org/grscicoll/collection/6eae4377-f8b4-41ac-a9c1-db5a81afde98		Universidad de Antioquia (UdeA)	HUA			PRESERVED_SPECIMEN				UdeA:HUA:130248	130248	2249	Zarucchi J.		1					Flor								PRESENT	Montado	En colección																					1976-11-20		325	325	1976	11	20							Tree					SOUTH_AMERICA				CO	Vaupés	Mitú		Urania	Mitú and vicinity. Urania								1.281228	-70.179489	180.0								Yeison Montoya Présiga	2015-09-05	Descripción y estructura de los parámetros para la georreferenciación de localidades en colecciones biológicas (Instituto Alexander von Humboldt. 2014)	Instituto Geográfico Agustín Codazzi. Departamento Administrativo Nacional de Estadística. 2008. Plancha 423. 424. 424 B. 442. 443. 443 B. 460. 461. 462. 463. 478. 479. 494. 1:100.000. Bogotá D.C.																					Barbieria pinnata (Pers.) Baill.			Zarucchi J.		1977-01-01T00:00:00												Barbieria pinnata (Pers.) Baill.							Plantae | Magnoliophyta | Equisetopsida | Fabales | Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Barbieria	Barbieria			pinnata			SPECIES				ACCEPTED			23243164-c132-444d-a3a4-34662abb8305	CO	2024-01-29T08:18:19.838Z						COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY		true	false	5357464	5357464	6	7707728	220	1370	5386	2965889		5357464	Barbieria pinnata	Barbieria pinnata (Pers.) Baill.	Barbieria pinnata		EML	2024-01-29T08:18:19.838Z	2024-01-26T19:10:59.164Z	false			false	LATIN_AMERICA	LATIN_AMERICA	COL	Colombia	COL.32_2	Vaupés	COL.32.2_2	Mitú			LC
