"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,8.66314985902592,0.683980028896256,7.32192816744598,10.0043715506059,"0"
"2",-50,9.49654273502486,0.718158670083012,8.0882998834523,10.9047855865974,"1"
"3",-40,7.02112156076202,0.683980028896256,5.67989986918207,8.36234325234196,"0"
"4",-40,7.8350994652717,0.718158670083012,6.42685661369915,9.24334231684425,"1"
"5",-30,5.74923905473464,0.683980028896256,4.4080173631547,7.09046074631459,"0"
"6",-30,6.53507583938135,0.718158670083012,5.1268329878088,7.94331869095391,"1"
"7",-20,4.84750234094381,0.683980028896256,3.50628064936386,6.18872403252375,"0"
"8",-20,5.59647185735381,0.718158670083012,4.18822900578126,7.00471470892636,"1"
"9",-10,4.3159114193895,0.683980028896256,2.97468972780956,5.65713311096945,"0"
"10",-10,5.01928751918907,0.718158670083012,3.61104466761652,6.42753037076163,"1"
"11",0,4.15446629007173,0.683980028896256,2.81324459849179,5.49568798165168,"0"
"12",0,4.80352282488714,0.718158670083012,3.39527997331459,6.2117656764597,"1"
"13",10,4.3631669529905,0.683980028896256,3.02194526141055,5.70438864457044,"0"
"14",10,4.94917777444802,0.718158670083012,3.54093492287546,6.35742062602057,"1"
"15",20,4.94201340814579,0.683980028896256,3.60079171656585,6.28323509972574,"0"
"16",20,5.4562523678717,0.718158670083012,4.04800951629915,6.86449521944425,"1"
"17",30,5.89100565553762,0.683980028896256,4.54978396395768,7.23222734711757,"0"
"18",30,6.32474660515818,0.718158670083012,4.91650375358563,7.73298945673074,"1"
"19",40,7.21014369516599,0.683980028896256,5.86892200358604,8.55136538674593,"0"
"20",40,7.55466048630748,0.718158670083012,6.14641763473492,8.96290333788003,"1"
"21",50,8.89942752703088,0.683980028896256,7.55820583545094,10.2406492186108,"0"
"22",50,9.14599401131957,0.718158670083012,7.73775115974702,10.5542368628921,"1"
"23",60,10.9588571511323,0.683980028896256,9.61763545955237,12.3000788427123,"0"
"24",60,11.0987471801945,0.718158670083012,9.69050432862193,12.506990031767,"1"
"25",70,13.3884325674703,0.683980028896256,12.0472108758903,14.7296542590502,"0"
"26",70,13.4129199929322,0.718158670083012,12.0046771413596,14.8211628445047,"1"
"27",80,16.1881537760448,0.683980028896256,14.8469320844648,17.5293754676247,"0"
"28",80,16.0885124495327,0.718158670083012,14.6802695979602,17.4967553011053,"1"
