"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,59.1775920446101,0.127774584807221,46.0620220063132,76.0276524490898,"0"
"2",-50,87.2782904658253,0.135021397796436,66.9761950608911,113.734439224437,"1"
"3",-40,79.0497614036512,0.127774584807221,61.529908932826,101.558167180066,"0"
"4",-40,111.916322560379,0.135021397796436,85.883092007131,145.840851356387,"1"
"5",-30,101.128584613388,0.127774584807221,78.7153875138695,129.923652146223,"0"
"6",-30,138.126438152384,0.135021397796436,105.996384844208,179.99588330023,"1"
"7",-20,123.901734498493,0.127774584807221,96.4413086762253,159.181164404083,"0"
"8",-20,164.080275184583,0.135021397796436,125.913012935449,213.816952489657,"1"
"9",-10,145.382099032903,0.127774584807221,113.160965385841,186.777787262119,"0"
"10",-10,187.599691519994,0.135021397796436,143.961499080072,244.465669524754,"1"
"11",0,163.370852551646,0.127774584807221,127.162859207778,209.888607646369,"0"
"12",0,206.444846208074,0.135021397796436,158.42301923136,269.023243797887,"1"
"13",10,175.820012897692,0.127774584807221,136.852903665609,225.882506745181,"0"
"14",10,218.661414006051,0.135021397796436,167.797850285507,284.942947086464,"1"
"15",20,181.214160475048,0.127774584807221,141.05154264075,232.812568667288,"0"
"16",20,222.913535659669,0.135021397796436,171.060871682642,290.483989070756,"1"
"17",30,178.87351730357,0.127774584807221,139.229657809879,229.805457370594,"0"
"18",30,218.724236770567,0.135021397796436,167.846059636401,285.024812941702,"1"
"19",40,169.094722768805,0.127774584807221,131.618144169445,217.242276501394,"0"
"20",40,206.563488988438,0.135021397796436,158.514064117297,269.177850058169,"1"
"21",50,153.089058747186,0.127774584807221,119.159826368449,196.679204916203,"0"
"22",50,187.76143360435,0.135021397796436,144.085617796576,244.676439524544,"1"
"23",60,132.735883028249,0.127774584807221,103.317538849259,170.530723433075,"0"
"24",60,164.268921539123,0.135021397796436,126.057777629759,214.062782090934,"1"
"25",70,110.220563105761,0.127774584807221,85.7923046192649,141.604454913116,"0"
"26",70,138.324975062947,0.135021397796436,106.148739419185,180.254601522915,"1"
"27",80,87.6530432876615,0.127774584807221,68.226439592084,112.611123246714,"0"
"28",80,112.109386657885,0.135021397796436,86.0312468184227,146.092437824763,"1"
