"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,107.40201975152,0.144657095690368,80.8762151609893,142.627765452974,"0"
"2",-50,301.367256561854,0.141511436904223,228.340692511114,397.748742586465,"1"
"3",-40,236.186534206843,0.144657095690368,177.853945417732,313.651062446876,"0"
"4",-40,433.197309175169,0.141511436904223,328.226014662303,571.739899622769,"1"
"5",-30,440.723051610439,0.144657095690368,331.874693147465,585.27152636646,"0"
"6",-30,583.545499977207,0.141511436904223,442.142205814557,770.171555814943,"1"
"7",-20,697.821502948778,0.144657095690368,525.475797820381,926.693202612811,"0"
"8",-20,736.65304209294,0.141511436904223,558.149109133218,972.245042668808,"1"
"9",-10,937.542313301517,0.144657095690368,705.991135255462,1245.0377141247,"0"
"10",-10,871.4661793664,0.141511436904223,660.294662289221,1150.17331678325,"1"
"11",0,1068.82192844808,0.144657095690368,804.847734278542,1419.37445566084,"0"
"12",0,966.134022767547,0.141511436904223,732.02282933485,1275.11726758187,"1"
"13",10,1033.922012341,0.144657095690368,778.567286939597,1373.02805491005,"0"
"14",10,1003.7452508512,0.141511436904223,760.520198175758,1324.75709523958,"1"
"15",20,848.668643263263,0.144657095690368,639.067197728124,1127.01523191731,"0"
"16",20,977.257290449953,0.141511436904223,740.450734458199,1289.79791266788,"1"
"17",30,591.093901820054,0.144657095690368,445.107435544952,784.961051798852,"0"
"18",30,891.648375884482,0.141511436904223,675.586359144113,1176.81006351971,"1"
"19",40,349.335522807829,0.144657095690368,263.057761589095,463.910689265432,"0"
"20",40,762.390744014126,0.141511436904223,577.650115139562,1006.2140235495,"1"
"21",50,175.185020862385,0.144657095690368,131.918389179531,232.642254998944,"0"
"22",50,610.887017237647,0.141511436904223,462.85839461615,806.257274730841,"1"
"23",60,74.5451060308996,0.144657095690368,56.1341960654188,98.9944316060388,"0"
"24",60,458.715551797914,0.141511436904223,347.560740201566,605.419235035672,"1"
"25",70,26.9159214793862,0.144657095690368,20.2683139652253,35.7438132410749,"0"
"26",70,322.793901680557,0.141511436904223,244.575286276912,426.027930083603,"1"
"27",80,8.24645544464541,0.144657095690368,6.20977246423911,10.9511303018177,"0"
"28",80,212.866082023755,0.141511436904223,161.284902467351,280.943648059783,"1"
