"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,59.1775920446101,0.127774584807221,46.0620220063132,76.0276524490898,"0"
"2",-50,96.826706248453,0.123033192486083,76.0709239660421,123.245657527564,"1"
"3",-40,79.0497614036512,0.127774584807221,61.529908932826,101.558167180066,"0"
"4",-40,103.740893069121,0.123033192486083,81.5029850192441,132.046364832376,"1"
"5",-30,101.128584613388,0.127774584807221,78.7153875138695,129.923652146223,"0"
"6",-30,112.253087438351,0.123033192486083,88.1905045656005,142.881092488466,"1"
"7",-20,123.901734498493,0.127774584807221,96.4413086762253,159.181164404083,"0"
"8",-20,122.670488857919,0.123033192486083,96.3748307914484,156.140858697891,"1"
"9",-10,145.382099032903,0.127774584807221,113.160965385841,186.777787262119,"0"
"10",-10,135.38650777713,0.123033192486083,106.365042643455,172.326415075382,"1"
"11",0,163.370852551646,0.127774584807221,127.162859207778,209.888607646369,"0"
"12",0,150.905185926974,0.123033192486083,118.557135417541,192.079330016314,"1"
"13",10,175.820012897692,0.127774584807221,136.852903665609,225.882506745181,"0"
"14",10,169.87381191283,0.123033192486083,133.459644869921,216.22350338128,"1"
"15",20,181.214160475048,0.127774584807221,141.05154264075,232.812568667288,"0"
"16",20,193.126641743135,0.123033192486083,151.727995808944,245.820816073699,"1"
"17",30,178.87351730357,0.127774584807221,139.229657809879,229.805457370594,"0"
"18",30,221.743773486044,0.123033192486083,174.210756374558,282.246068515497,"1"
"19",40,169.094722768805,0.127774584807221,131.618144169445,217.242276501394,"0"
"20",40,257.13083947122,0.123033192486083,202.012247411879,327.288416688773,"1"
"21",50,153.089058747186,0.127774584807221,119.159826368449,196.679204916203,"0"
"22",50,301.127480440982,0.123033192486083,236.577764092618,383.28944321764,"1"
"23",60,132.735883028249,0.127774584807221,103.317538849259,170.530723433075,"0"
"24",60,356.155866121328,0.123033192486083,279.810259601889,453.332201446474,"1"
"25",70,110.220563105761,0.127774584807221,85.7923046192649,141.604454913116,"0"
"26",70,425.425288565174,0.123033192486083,334.231081832239,541.501631621454,"1"
"27",80,87.6530432876615,0.127774584807221,68.226439592084,112.611123246714,"0"
"28",80,513.215768015216,0.123033192486083,403.202785465845,653.245547981859,"1"
