"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,8.66314985902592,0.683980028896256,7.32192816744598,10.0043715506059,"0"
"2",-50,3.38771641291015,0.663293292602161,2.08705950140194,4.68837332441836,"1"
"3",-40,7.02112156076202,0.683980028896256,5.67989986918207,8.36234325234196,"0"
"4",-40,3.92522041179352,0.663293292602161,2.62456350028531,5.22587732330173,"1"
"5",-30,5.74923905473464,0.683980028896256,4.4080173631547,7.09046074631459,"0"
"6",-30,4.41831287549969,0.663293292602161,3.11765596399148,5.7189697870079,"1"
"7",-20,4.84750234094381,0.683980028896256,3.50628064936386,6.18872403252375,"0"
"8",-20,4.86699380402866,0.663293292602161,3.56633689252045,6.16765071553687,"1"
"9",-10,4.3159114193895,0.683980028896256,2.97468972780956,5.65713311096945,"0"
"10",-10,5.27126319738042,0.663293292602161,3.97060628587221,6.57192010888864,"1"
"11",0,4.15446629007173,0.683980028896256,2.81324459849179,5.49568798165168,"0"
"12",0,5.63112105555499,0.663293292602161,4.33046414404678,6.9317779670632,"1"
"13",10,4.3631669529905,0.683980028896256,3.02194526141055,5.70438864457044,"0"
"14",10,5.94656737855236,0.663293292602161,4.64591046704415,7.24722429006057,"1"
"15",20,4.94201340814579,0.683980028896256,3.60079171656585,6.28323509972574,"0"
"16",20,6.21760216637252,0.663293292602161,4.91694525486431,7.51825907788073,"1"
"17",30,5.89100565553762,0.683980028896256,4.54978396395768,7.23222734711757,"0"
"18",30,6.44422541901548,0.663293292602161,5.14356850750727,7.74488233052369,"1"
"19",40,7.21014369516599,0.683980028896256,5.86892200358604,8.55136538674593,"0"
"20",40,6.62643713648124,0.663293292602161,5.32578022497303,7.92709404798945,"1"
"21",50,8.89942752703088,0.683980028896256,7.55820583545094,10.2406492186108,"0"
"22",50,6.7642373187698,0.663293292602161,5.46358040726159,8.06489423027801,"1"
"23",60,10.9588571511323,0.683980028896256,9.61763545955237,12.3000788427123,"0"
"24",60,6.85762596588116,0.663293292602161,5.55696905437295,8.15828287738937,"1"
"25",70,13.3884325674703,0.683980028896256,12.0472108758903,14.7296542590502,"0"
"26",70,6.90660307781531,0.663293292602161,5.6059461663071,8.20725998932353,"1"
"27",80,16.1881537760448,0.683980028896256,14.8469320844648,17.5293754676247,"0"
"28",80,6.91116865457227,0.663293292602161,5.61051174306406,8.21182556608048,"1"
