species,n
Aeschynomene_brevifolia,302
Aeschynomene_ciliata,144
Aeschynomene_crassicaulis,42
Aeschynomene_cristata,84
Aeschynomene_denticulata,120
Aeschynomene_elaphroxylon,125
Aeschynomene_evenia,196
Aeschynomene_filosa,47
Aeschynomene_fluitans,71
Aeschynomene_fluminensis,165
Aeschynomene_indica,3430
Aeschynomene_lateritia,92
Aeschynomene_mimosifolia,35
Aeschynomene_minutiflora,36
Aeschynomene_nilotica,35
Aeschynomene_nodulosa,61
Aeschynomene_nyassana,74
Aeschynomene_pratensis,127
Aeschynomene_rehmannii,64
Aeschynomene_rudis,327
Aeschynomene_scabra,154
Aeschynomene_schimperi,114
Aeschynomene_schliebenii,66
Aeschynomene_sensitiva,949
Aeschynomene_tambacoundensis,67
Aeschynomene_uniflora,137
Aeschynomene_virginica,51
Afzelia_rhomboidea,44
Aganope_gabonica,32
Albizia_adinocephala,223
Albizia_amara,273
Albizia_anthelmintica,310
Albizia_antunesiana,132
Albizia_brevifolia,79
Albizia_carbonaria,494
Albizia_chevalieri,219
Albizia_chinensis,301
Albizia_coriaria,105
Albizia_edwallii,70
Albizia_forbesii,92
Albizia_gummifera,398
Albizia_harveyi,283
Albizia_inundata,314
Albizia_julibrissin,12623
Albizia_kalkora,479
Albizia_lebbeck,2489
Albizia_lebbekoides,39
Albizia_lucidior,101
Albizia_multiflora,100
Albizia_niopoides,866
Albizia_odoratissima,166
Albizia_petersiana,135
Albizia_polycephala,186
Albizia_procera,376
Albizia_retusa,63
Albizia_saponaria,63
Albizia_schimperiana,63
Albizia_subdimidiata,127
Albizia_tanganyicensis,97
Albizia_versicolor,318
Aldina_heterophylla,31
Aldina_latifolia,96
Alexa_grandiflora,72
Alexa_imperatricis,32
Alhagi_maurorum,520
Almaleea_paludosa,158
Alysicarpus_bupleurifolius,183
Alysicarpus_glumaceus,506
Alysicarpus_monilifer,109
Alysicarpus_ovalifolius,2698
Alysicarpus_rugosus,832
Alysicarpus_vaginalis,2269
Alysicarpus_zeyheri,95
Amblygonocarpus_andongensis,160
Amburana_cearensis,363
Amicia_zygomeris,385
Ammopiptanthus_mongolicus,23
Amorpha_californica,702
Amorpha_canescens,4176
Amorpha_fruticosa,12875
Amorpha_herbacea,167
Amorpha_nana,348
Amphicarpaea_bracteata,9508
Amphithalea_ericifolia,262
Anadenanthera_colubrina,2094
Anadenanthera_peregrina,811
Anagyris_foetida,1793
Andira_anthelmia,163
Andira_coriacea,28
