species,n
Dalea_cliffortiana,486
Dalea_compacta,297
Dalea_flavescens,58
Dalea_formosa,1759
Dalea_frutescens,478
Dalea_leporina,657
Dalea_lumholtzii,43
Dalea_lutea,414
Dalea_mollis,954
Dalea_mollissima,1066
Dalea_multiflora,432
Dalea_phleoides,63
Dalea_pogonathera,633
Dalea_polygonoides,173
Dalea_purpurea,5488
Dalea_scandens,171
Dalea_tenuis,115
Dalea_tomentosa,201
Dalea_villosa,558
Dalea_wrightii,247
Dalhousiea_africana,214
Daniellia_oliveri,2735
Daniellia_thurifera,50
Daviesia_acicularis,781
Daviesia_benthamii,267
Daviesia_brevifolia,2140
Daviesia_buxifolia,358
Daviesia_cordata,295
Daviesia_corymbosa,713
Daviesia_decurrens,514
Daviesia_flexuosa,102
Daviesia_genistifolia,1522
Daviesia_hakeoides,336
Daviesia_horrida,212
Daviesia_leptophylla,4469
Daviesia_nudiflora,268
Daviesia_pectinata,223
Daviesia_teretifolia,129
Daviesia_ulicifolia,10385
Daviesia_umbellulata,524
Decorsea_schlechteri,76
Deguelia_scandens,147
Delonix_elata,137
Dendrolobium_dispermum,36
Dendrolobium_triangulare,368
Dendrolobium_umbellatum,388
Derris_elliptica,118
Derris_marginata,31
Derris_trifoliata,557
Desmanthus_illinoensis,4220
Desmanthus_leptolobus,243
Desmanthus_velutinus,293
Desmanthus_virgatus,1631
Desmodium_affine,465
Desmodium_axillare,705
Desmodium_batocaulon,182
Desmodium_cajanifolium,315
Desmodium_canadense,3660
Desmodium_canescens,797
Desmodium_ciliare,740
Desmodium_cinereum,122
Desmodium_cuneatum,165
Desmodium_cuspidatum,287
Desmodium_distortum,519
Desmodium_gangeticum,495
Desmodium_glabrum,448
Desmodium_grahamii,453
Desmodium_illinoense,686
Desmodium_infractum,241
Desmodium_intortum,912
Desmodium_laevigatum,324
Desmodium_laxiflorum,124
Desmodium_leiocarpum,127
Desmodium_marilandicum,661
Desmodium_molliculum,351
Desmodium_nicaraguense,187
Desmodium_paniculatum,4158
Desmodium_procumbens,1086
Desmodium_retinens,121
Desmodium_rotundifolium,1284
Desmodium_scorpiurus,838
Desmodium_sessilifolium,589
Desmodium_tortuosum,2200
Desmodium_uncinatum,1179
Desmodium_viridiflorum,281
Dewevrea_bilabiata,56
Dialium_englerianum,77
Dialium_guianense,1336
Dialium_pachyphyllum,247
Dialium_schlechteri,92
Dialium_zenkeri,66
Dichilus_lebeckioides,52
Dichilus_strictus,64
Dichrostachys_spicata,272
Dicorynia_guianensis,65
Dicorynia_paraensis,77
Didelotia_africana,54
Dillwynia_brunioides,181
Dillwynia_cinerascens,2182
Dillwynia_divaricata,53
Dillwynia_floribunda,1294
Dillwynia_glaberrima,3762
Dillwynia_hispida,2216
Dillwynia_juniperina,240
Dillwynia_ramosissima,536
Dillwynia_retorta,3566
Dillwynia_uncinata,307
Dimorphandra_macrostachya,110
Dimorphandra_mollis,545
Dimorphandra_parviflora,41
Dimorphandra_vernicosa,89
Dinizia_excelsa,104
Dioclea_guianensis,388
Dioclea_sericea,67
Dioclea_virgata,797
Diphysa_americana,424
Diphysa_carthagenensis,369
Diplotropis_brasiliensis,40
Diplotropis_incexis,48
Diplotropis_purpurea,216
Diplotropis_triloba,30
Dipogon_lignosus,1343
Dipteryx_magnifica,78
Dipteryx_odorata,280
Dipteryx_punctata,82
Diptychandra_aurantiaca,266
Distemonanthus_benthamianus,292
Dolichopsis_paraguariensis,59
Dolichos_falciformis,57
Dolichos_kilimandscharicus,216
Dolichos_linearis,47
Dolichos_oliveri,65
Dolichos_sericeus,153
Dolichos_trilobus,235
Dolichos_trinervatus,109
Droogmansia_pteropus,165
Dumasia_truncata,906
Dumasia_villosa,524
Dunbaria_villosa,438
Duparquetia_orchidacea,191
Ebenopsis_confinis,256
Ebenus_pinnata,116
Elephantorrhiza_burkei,132
Elephantorrhiza_goetzei,106
Elephantorrhiza_suffruticosa,43
Eminia_antennulifera,64
Entada_abyssinica,804
Entada_arenaria,50
Entada_chrysostachys,122
Entada_phaseoloides,322
Entada_polystachya,675
Enterolobium_contortisiliquum,999
Enterolobium_cyclocarpum,2120
Enterolobium_gummiferum,241
Enterolobium_maximum,30
Enterolobium_schomburgkii,455
Eperua_bijuga,32
Eperua_duckeana,41
Eperua_falcata,264
Eperua_glabriflora,39
Eperua_grandiflora,78
Eperua_rubiginosa,135
Erichsenia_uncinata,44
Eriosema_buchananii,37
Eriosema_burkei,125
Eriosema_chrysadenium,72
Eriosema_cordatum,296
Eriosema_crinitum,576
Eriosema_ellipticifolium,63
Eriosema_ellipticum,96
Eriosema_englerianum,56
Eriosema_heterophyllum,199
Eriosema_kraussianum,217
Eriosema_montanum,187
Eriosema_nutans,83
Eriosema_pauciflorum,71
Eriosema_rufum,166
Eriosema_salignum,345
Eriosema_shirense,98
Eriosema_simplicifolium,250
Eriosema_squarrosum,70
Eriosema_violaceum,77
Erythrina_abyssinica,230
Erythrina_americana,695
Erythrina_arborescens,87
Erythrina_berteroana,347
Erythrina_brucei,39
Erythrina_corallodendron,42
Erythrina_costaricensis,178
Erythrina_crista-galli,1844
Erythrina_edulis,473
Erythrina_excelsa,49
Erythrina_falcata,337
Erythrina_folkersii,128
Erythrina_fusca,656
Erythrina_herbacea,2997
Erythrina_humeana,213
Erythrina_lanata,239
Erythrina_lanceolata,88
Erythrina_latissima,138
Erythrina_lysistemon,440
Erythrina_poeppigiana,550
Erythrina_rubrinervia,147
Erythrina_sandwicensis,80
Erythrina_speciosa,290
Erythrina_stricta,72
Erythrina_suberosa,37
Erythrina_subumbrans,80
Erythrina_variegata,421
Erythrina_velutina,315
Erythrina_verna,90
Erythrina_vespertilio,1125
Erythrina_zeyheri,189
Erythrophleum_africanum,376
Erythrophleum_lasianthum,52
Euchilopsis_linearis,186
Euchresta_japonica,112
Eutaxia_microphylla,3910
Eutaxia_virgata,210
Exostyles_venusta,52
Faidherbia_albida,1124
Flemingia_grahamiana,153
Flemingia_lineata,412
Flemingia_macrophylla,668
Flemingia_strobilifera,823
Galactia_canescens,44
Galactia_dubia,62
Galactia_jussiaeana,308
Galactia_latisiliqua,149
Galactia_megalophylla,169
Galactia_regularis,642
Galactia_spiciformis,98
Galactia_striata,2857
Galactia_tenuiflora,66
Galega_officinalis,10738
Galega_orientalis,3297
Gastrolobium_bilobum,203
Gastrolobium_crassifolium,122
Gastrolobium_parviflorum,424
Gastrolobium_spinosum,627
Gastrolobium_trilobum,110
Gastrolobium_velutinum,81
Gastrolobium_villosum,143
Geissaspis_cristata,35
Genista_anglica,19995
Genista_canariensis,136
Genista_cinerea,5505
Genista_falcata,732
Genista_ferox,18
Genista_florida,2078
Genista_germanica,7741
Genista_hispanica,7903
Genista_linifolia,1558
Genista_monspessulana,9079
Genista_pilosa,25998
Genista_radiata,378
Genista_sagittalis,15883
Genista_stenopetala,293
Genista_tenera,53
Genista_tinctoria,34150
Genista_tricuspidata,251
Gilbertiodendron_mayombense,19
Gleditsia_amorphoides,175
Gleditsia_australis,33
Gleditsia_fera,35
Gleditsia_japonica,284
Gleditsia_triacanthos,16649
Gliricidia_sepium,2829
Glycine_canescens,2790
Glycine_clandestina,21565
Glycine_falcata,405
Glycine_max,5418
Glycine_microphylla,3817
Glycine_tabacina,11341
Glycine_tomentella,2570
Glycyrrhiza_acanthocarpa,658
Glycyrrhiza_echinata,708
Glycyrrhiza_glabra,1608
Glycyrrhiza_lepidota,4048
Glycyrrhiza_pallidiflora,87
Glycyrrhiza_uralensis,512
Gompholobium_confertum,478
Gompholobium_grandiflorum,1352
Gompholobium_huegelii,3305
Gompholobium_knightianum,564
Gompholobium_latifolium,2095
Gompholobium_marginatum,494
Gompholobium_minus,585
Gompholobium_pinnatum,1046
Gompholobium_polymorphum,499
Gompholobium_scabrum,317
Gompholobium_subulatum,815
Gompholobium_tomentosum,678
Gompholobium_venustum,134
Gompholobium_virgatum,520
Goniorrhachis_marginata,128
Goodia_lotifolia,2682
Gueldenstaedtia_verna,622
Guibourtia_chodatiana,24
Guibourtia_coleosperma,176
Guibourtia_conjugata,62
Gymnocladus_chinensis,100
Haematoxylum_campechianum,852
Hardenbergia_comptoniana,932
Hardenbergia_violacea,18360
Harleyodendron_unifoliolatum,22
Havardia_albicans,361
Havardia_mexicana,104
Havardia_pallens,496
Hebestigma_cubense,32
Hedysarum_alpinum,1964
Hedysarum_boreale,2338
Hedysarum_caucasicum,170
Hedysarum_ferganense,39
Hedysarum_hedysaroides,4149
Hedysarum_occidentale,384
Hedysarum_polybotrys,79
Hedysarum_spinosissimum,158
Hedysarum_vicioides,250
Heterostemon_ellipticus,53
Heterostemon_mimosoides,168
Hippocrepis_areolata,128
Hippocrepis_comosa,32446
Hippocrepis_emerus,19037
Hippocrepis_multisiliquosa,517
Hippocrepis_unisiliquosa,1077
Hoffmannseggia_glauca,1757
Hoffmannseggia_microphylla,548
Hoita_macrostachya,560
Hoita_orbicularis,218
Hovea_acutifolia,827
Hovea_elliptica,410
Hovea_linearis,3232
Hovea_longifolia,468
Hovea_pungens,340
Hovea_trisperma,755
Hydrochorea_corymbosa,476
Hydrochorea_gonggrijpii,56
Hydrochorea_marginata,142
Hylodendron_gabunense,144
Hylodesmum_podocarpum,3308
Hylodesmum_repandum,686
Hymenaea_aurea,34
Hymenaea_courbaril,2091
Hymenaea_eriogyne,124
Hymenaea_intermedia,82
Hymenaea_martiana,258
Hymenaea_parvifolia,168
Hymenaea_reticulata,44
Hymenaea_rubriflora,91
Hymenaea_stigonocarpa,727
Hymenaea_verrucosa,184
Hymenolobium_alagoanum,45
Hymenolobium_excelsum,26
Hymenolobium_heterocarpum,45
Hymenolobium_janeirense,58
Hymenolobium_modestum,20
Hymenolobium_nitidum,30
Hymenolobium_petraeum,46
Hypocalyptus_coluteoides,108
Hypocalyptus_oxalidifolius,91
Hypocalyptus_sophoroides,171
Indigastrum_argyroides,72
Indigastrum_burkeanum,53
Indigastrum_costatum,185
Indigastrum_parviflorum,519
Indigofera_adenoides,53
Indigofera_alopecuroides,224
Indigofera_alternans,368
Indigofera_amblyantha,158
Indigofera_angustata,31
Indigofera_angustifolia,165
Indigofera_argentea,51
Indigofera_arrecta,402
Indigofera_asperifolia,125
Indigofera_astragalina,426
Indigofera_atropurpurea,121
Indigofera_auricoma,138
Indigofera_australis,9455
Indigofera_bainesii,68
Indigofera_brachystachya,106
Indigofera_brevidens,268
Indigofera_bungeana,1801
Indigofera_candicans,15
Indigofera_capillaris,116
Indigofera_caroliniana,297
Indigofera_cassioides,65
Indigofera_circinella,42
Indigofera_circinnata,66
Indigofera_comosa,90
Indigofera_cordifolia,126
Indigofera_cryptantha,109
Indigofera_cuneifolia,50
Indigofera_cytisoides,248
Indigofera_daleoides,233
Indigofera_denudata,121
Indigofera_digitata,99
Indigofera_dimidiata,102
Indigofera_dosua,35
Indigofera_dregeana,49
Indigofera_emarginella,159
Indigofera_eriocarpa,34
Indigofera_filicaulis,33
Indigofera_filifolia,157
Indigofera_filiformis,43
Indigofera_filipes,134
Indigofera_flabellata,130
Indigofera_flavicans,135
Indigofera_fortunei,59
Indigofera_frutescens,119
Indigofera_fulvopilosa,89
Indigofera_galegoides,81
Indigofera_garckeana,117
Indigofera_glandulosa,51
Indigofera_glomerata,151
Indigofera_hedyantha,237
Indigofera_hendecaphylla,362
Indigofera_heterophylla,775
Indigofera_heterotricha,267
Indigofera_hilaris,329
Indigofera_hirsuta,3923
Indigofera_hispida,43
Indigofera_holubii,63
Indigofera_humifusa,69
Indigofera_incana,197
Indigofera_inhambanensis,40
Indigofera_kirilowii,815
Indigofera_langebergensis,23
Indigofera_lespedezioides,561
Indigofera_linifolia,2491
Indigofera_longibarbata,85
Indigofera_lupatana,69
Indigofera_lyallii,88
Indigofera_mauritanica,78
Indigofera_melanadenia,160
Indigofera_meyeriana,144
Indigofera_microcarpa,323
Indigofera_mimosoides,55
Indigofera_miniata,2394
Indigofera_mollicoma,32
Indigofera_nigromontana,133
Indigofera_nummulariifolia,210
Indigofera_oblongifolia,175
Indigofera_ormocarpoides,49
Indigofera_ovata,66
Indigofera_oxalidea,68
Indigofera_oxytropis,121
Indigofera_porrecta,54
Indigofera_pratensis,646
Indigofera_procumbens,71
Indigofera_psoraloides,76
Indigofera_pulchra,366
Indigofera_reticulata,51
Indigofera_rhynchocarpa,118
Indigofera_rhytidocarpa,58
Indigofera_rostrata,79
Indigofera_sanguinea,126
Indigofera_schimperi,209
Indigofera_senegalensis,483
Indigofera_sessiliflora,228
Indigofera_sessilifolia,156
Indigofera_setiflora,40
Indigofera_sordida,41
Indigofera_sphaerocarpa,65
Indigofera_spicata,1936
Indigofera_stenophylla,267
Indigofera_stricta,63
Indigofera_strobilifera,108
Indigofera_suffruticosa,2813
Indigofera_sulcata,62
Indigofera_swaziensis,119
Indigofera_tenuissima,31
Indigofera_tinctoria,935
Indigofera_torulosa,62
Indigofera_tristis,76
Indigofera_tristoides,71
Indigofera_velutina,41
Indigofera_vicioides,152
Indigofera_williamsonii,45
Indigofera_woodii,56
Indigofera_zollingeriana,86
Inga_acreana,239
Inga_acrocephala,275
Inga_acuminata,145
Inga_alba,852
Inga_blanchetiana,41
Inga_capitata,928
Inga_cayennensis,272
Inga_chocoensis,72
Inga_cinnamomea,177
Inga_cordatoalata,90
Inga_cordistipula,22
Inga_densiflora,419
Inga_disticha,150
Inga_edulis,1853
Inga_fastuosa,68
Inga_graciliflora,28
Inga_gracilifolia,109
Inga_hayesii,58
Inga_heterophylla,552
Inga_hispida,52
Inga_huberi,49
Inga_ingoides,446
Inga_lateriflora,99
Inga_laurina,1347
Inga_lentiscifolia,51
Inga_longiflora,36
Inga_macrophylla,241
Inga_maritima,28
Inga_mortoniana,88
Inga_nobilis,1216
Inga_obidensis,55
Inga_oerstediana,862
Inga_panurensis,41
Inga_paraensis,125
Inga_paterno,170
Inga_pezizifera,354
Inga_pilosula,302
Inga_punctata,1831
Inga_rubiginosa,117
Inga_sertulifera,319
Inga_sessilis,339
Inga_spectabilis,447
Inga_splendens,160
Inga_stipularis,212
Inga_thibaudiana,1433
Inga_tonduzii,72
Inga_umbellifera,520
Inga_uraguensis,125
Inga_velutina,100
Inga_vera,3105
Inga_vulpina,79
Inocarpus_fagifer,218
Intsia_palembanica,103
Isoberlinia_angolensis,115
Isotropis_atropurpurea,350
Isotropis_cuneifolia,652
Isotropis_juncea,68
Jacksonia_capitata,118
Jacksonia_dilatata,901
Jacksonia_floribunda,287
Jacksonia_furcellata,391
Jacksonia_hakeoides,199
Jacksonia_horrida,248
Jacksonia_scoparia,3620
Jacksonia_sericea,33
Jacksonia_spinosa,154
Jacksonia_sternbergiana,74
Julbernardia_globiflora,393
Julbernardia_paniculata,173
Kennedia_carinata,133
Kennedia_coccinea,815
Kennedia_glabrata,21
Kennedia_nigricans,113
Kennedia_prorepens,326
Kennedia_prostrata,6094
Kennedia_rubicunda,5590
Kennedia_stirlingii,87
Koompassia_malaccensis,147
Kotschya_strigosa,179
Kotschya_strobilantha,44
Kotschya_thymodora,66
Kummerowia_stipulacea,1525
Kummerowia_striata,5185
Lablab_purpureus,1819
Laburnum_alpinum,3521
Laburnum_anagyroides,16951
Lamprolobium_fruticosum,262
Lathyrus_angulatus,2811
Lathyrus_annuus,2095
Lathyrus_aphaca,12270
Lathyrus_brachycalyx,222
Lathyrus_cicera,6761
Lathyrus_clymenum,4324
Lathyrus_davidii,690
Lathyrus_eucosmus,338
Lathyrus_graminifolius,194
Lathyrus_hirsutus,8559
Lathyrus_humilis,1259
Lathyrus_inconspicuus,1020
Lathyrus_japonicus,5859
Lathyrus_jepsonii,242
Lathyrus_komarovii,213
Lathyrus_lanszwertii,1303
Lathyrus_latifolius,32152
Lathyrus_linifolius,75462
Lathyrus_littoralis,205
Lathyrus_magellanicus,261
Lathyrus_marmoratus,355
Lathyrus_nevadensis,1044
Lathyrus_niger,13505
Lathyrus_nissolia,8507
Lathyrus_ochroleucus,1964
Lathyrus_ochrus,1916
Lathyrus_odoratus,1391
Lathyrus_palustris,12132
Lathyrus_pisiformis,2582
Lathyrus_pratensis,186788
Lathyrus_pseudocicera,255
Lathyrus_pusillus,154
Lathyrus_sativus,1767
Lathyrus_sphaericus,5255
Lathyrus_sylvestris,29826
Lathyrus_tingitanus,1843
Lathyrus_tuberosus,24881
Lathyrus_venosus,1159
Lathyrus_vernus,51138
Lebeckia_gracilis,39
Lebeckia_pauciflora,52
Lebeckia_plukenetiana,51
Lebeckia_sepiaria,79
Lebeckia_wrightii,28
Lecointea_amazonica,101
Leptoderris_nobilis,28
Leptosema_chambersii,485
Lespedeza_angustifolia,258
Lespedeza_bicolor,4827
Lespedeza_buergeri,858
Lespedeza_capitata,4227
Lespedeza_caraganae,67
Lespedeza_chinensis,178
Lespedeza_cyrtobotrya,1951
Lespedeza_davidii,192
Lespedeza_floribunda,355
Lespedeza_hirta,2178
Lespedeza_homoloba,670
Lespedeza_inschanica,163
Lespedeza_juncea,956
Lespedeza_leptostachya,68
Lespedeza_maximowiczii,1343
Lespedeza_melanantha,33
Lespedeza_pilosa,1067
Lespedeza_procumbens,1435
Lespedeza_repens,1247
Lespedeza_stuevei,521
Lespedeza_thunbergii,1299
Lespedeza_tomentosa,489
Lespedeza_violacea,1236
Lespedeza_virgata,492
Lespedeza_virginica,2239
Lessertia_annularis,79
Lessertia_benguellensis,83
Lessertia_brachystachya,36
Lessertia_depressa,55
Lessertia_diffusa,64
Lessertia_excisa,37
Lessertia_herbacea,47
Lessertia_macrostachya,48
Lessertia_pauciflora,99
Lessertia_perennans,91
Lessertia_stricta,32
Leucaena_collinsii,54
Leucaena_cuspidata,49
Leucaena_diversifolia,394
Leucaena_esculenta,403
Leucaena_greggii,101
Leucaena_lanceolata,401
Leucaena_leucocephala,10299
Leucaena_macrophylla,300
Leucaena_multicapitula,55
Leucaena_pulverulenta,288
Leucaena_retusa,352
Leucaena_salvadorensis,15
Leucaena_shannonii,156
Leucaena_trichandra,176
Leucaena_trichodes,182
Liparia_parva,58
Liparia_splendens,205
Loesenera_talbotii,31
Lonchocarpus_atropurpureus,122
Lonchocarpus_capassa,172
Lonchocarpus_constrictus,111
Lonchocarpus_eriocarinalis,136
Lonchocarpus_guatemalensis,863
Lonchocarpus_heptaphyllus,426
Lonchocarpus_macrophyllus,81
Lonchocarpus_nitidus,75
Lonchocarpus_punctatus,167
Lonchocarpus_sericeus,1629
Lonchocarpus_violaceus,47
Lotononis_divaricata,55
Lotononis_falcata,105
Lotononis_involucrata,94
Lotononis_laxa,170
Lotononis_lotononoides,82
Lotononis_parviflora,49
Lotononis_prostrata,83
Lotononis_pulchella,54
Lotononis_rabenaviana,43
Lotus_alpinus,4465
Lotus_angustissimus,4763
Lotus_arabicus,51
Lotus_arenarius,93
Lotus_australis,1501
Lotus_conimbricensis,1124
Lotus_conjugatus,50
Lotus_corniculatus,227742
Lotus_cruentus,2025
Lotus_cytisoides,889
Lotus_discolor,163
Lotus_edulis,923
Lotus_glinoides,152
Lotus_halophilus,292
Lotus_hispidus,769
Lotus_maroccanus,35
Lotus_ornithopodioides,2052
Lotus_parviflorus,2102
Lotus_pedunculatus,101871
Lotus_peregrinus,607
Lotus_purpureus,30
Lotus_sessilifolius,143
Lotus_subbiflorus,2745
Lotus_tenuis,10164
Lotus_ucrainicus,346
Luetzelburgia_auriculata,202
Luetzelburgia_bahiensis,102
Lupinus_affinis,126
Lupinus_albicaulis,578
Lupinus_albifrons,2277
Lupinus_albus,2482
Lupinus_angustiflorus,120
Lupinus_angustifolius,9804
Lupinus_arboreus,2747
Lupinus_arbustus,1287
Lupinus_arcticus,1282
Lupinus_argenteus,4774
Lupinus_aridus,334
Lupinus_arizonicus,1998
Lupinus_atlanticus,51
Lupinus_benthamii,425
Lupinus_bicolor,5321
Lupinus_breweri,477
Lupinus_caespitosus,318
Lupinus_chamissonis,285
Lupinus_concinnus,2751
Lupinus_confertus,420
Lupinus_cosentinii,532
Lupinus_cumulicola,125
Lupinus_densiflorus,951
Lupinus_diffusus,623
Lupinus_elegans,396
Lupinus_exaltatus,75
Lupinus_flavoculatus,347
Lupinus_formosus,907
Lupinus_fulcratus,93
Lupinus_gibertianus,90
Lupinus_grayi,258
Lupinus_havardii,223
Lupinus_hirsutissimus,2131
Lupinus_hispanicus,820
Lupinus_kingii,438
Lupinus_latifolius,1923
Lupinus_lepidus,803
Lupinus_leucophyllus,974
Lupinus_luteus,3493
Lupinus_lyallii,113
Lupinus_meionanthus,175
Lupinus_mexicanus,115
Lupinus_microcarpus,2003
Lupinus_montanus,377
Lupinus_multiflorus,39
Lupinus_mutabilis,156
Lupinus_nanus,1562
Lupinus_nootkatensis,2099
Lupinus_ornatus,31
Lupinus_palaestinus,159
Lupinus_perennis,2513
Lupinus_pilosus,564
Lupinus_polycarpus,276
Lupinus_polyphyllus,95692
Lupinus_pubescens,149
Lupinus_pusillus,1087
Lupinus_rivularis,398
Lupinus_sellulus,1292
Lupinus_sericeus,1997
Lupinus_sparsiflorus,2671
Lupinus_subcarnosus,486
Lupinus_succulentus,2614
Lupinus_vallicola,111
Lupinus_villosus,512
Lysiloma_acapulcense,871
Lysiloma_divaricatum,1675
Lysiloma_latisiliquum,863
Lysiloma_watsonii,118
Lysiphyllum_carronii,215
Lysiphyllum_gilvum,220
Maackia_amurensis,1917
Maackia_hupehensis,46
Machaerium_aculeatum,250
Machaerium_arboreum,348
Machaerium_brasiliense,399
Machaerium_ferox,99
Machaerium_floribundum,235
Machaerium_hoehneanum,22
Machaerium_incorruptibile,24
Machaerium_inundatum,195
Machaerium_isadelphum,324
Machaerium_latifolium,98
Machaerium_lunatum,357
Machaerium_madeirense,101
Machaerium_milleflorum,54
Machaerium_multifoliolatum,70
Machaerium_myrianthum,45
Machaerium_nyctitans,319
Machaerium_opacum,246
Machaerium_pedicellatum,34
Machaerium_quinata,200
Machaerium_salzmannii,78
Machaerium_stipitatum,415
Machaerium_villosum,282
Macrolobium_acaciifolium,657
Macrolobium_angustifolium,390
Macrolobium_bifolium,242
Macrolobium_campestre,58
Macrolobium_latifolium,113
Macrolobium_limbatum,186
Macrolobium_microcalyx,90
Macrolobium_multijugum,352
Macrolobium_pendulum,39
Macrolobium_punctatum,35
Macrolobium_suaveolens,90
Macroptilium_atropurpureum,4042
Macroptilium_bracteatum,256
Macroptilium_erythroloma,191
Macroptilium_gibbosifolium,1485
Macroptilium_gracile,257
Macroptilium_lathyroides,3134
Macroptilium_martii,131
Macroptilium_panduratum,72
Macrosamanea_discolor,68
Macrosamanea_duckei,53
Macrosamanea_pubiramea,190
Macrosamanea_spruceana,59
Macrotyloma_africanum,30
Macrotyloma_axillare,526
Macrotyloma_daltonii,46
Macrotyloma_densiflorum,46
Macrotyloma_geocarpum,56
Macrotyloma_maranguense,40
Macrotyloma_uniflorum,176
Marina_parryi,1302
Martiodendron_elatum,34
Mastersia_bakeri,64
Medicago_arabica,33871
Medicago_arborea,1537
Medicago_blancheana,203
Medicago_cancellata,35
Medicago_constricta,257
Medicago_coronata,1018
Medicago_disciformis,443
Medicago_doliata,818
Medicago_edgeworthii,82
Medicago_falcata,30104
Medicago_granadensis,80
Medicago_hybrida,220
Medicago_hypogaea,73
Medicago_intertexta,387
Medicago_laciniata,2728
Medicago_littoralis,5024
Medicago_lupulina,156371
Medicago_marina,1759
Medicago_medicaginoides,67
Medicago_minima,27135
Medicago_monantha,293
Medicago_monspeliaca,4814
Medicago_murex,468
Medicago_muricoleptis,16
Medicago_noeana,98
Medicago_orbicularis,7735
Medicago_orthoceras,84
Medicago_papillosa,30
Medicago_polyceratia,829
Medicago_polymorpha,29836
Medicago_praecox,1096
Medicago_radiata,405
Medicago_rugosa,391
Medicago_ruthenica,481
Medicago_sativa,91816
Medicago_scutellata,901
Medicago_secundiflora,121
Medicago_soleirolii,72
Medicago_suffruticosa,2881
Medicago_tenoreana,36
Medicago_tornata,241
Medicago_truncatula,5836
Medicago_turbinata,616
Melanoxylon_brauna,155
Melilotus_albus,95283
Melilotus_altissimus,16018
Melilotus_dentatus,687
Melilotus_indicus,12821
Melilotus_infestus,102
Melilotus_italicus,197
Melilotus_neapolitanus,1618
Melilotus_officinalis,54828
Melilotus_segetalis,268
Melilotus_suaveolens,1111
Melilotus_sulcatus,2253
Melilotus_wolgicus,178
Melolobium_adenodes,60
Melolobium_aethiopicum,42
Melolobium_alpinum,29
Melolobium_calycinum,56
Melolobium_candicans,230
Melolobium_exudans,47
Melolobium_humile,49
Melolobium_microphyllum,267
Melolobium_obcordatum,55
Microberlinia_bisulcata,32
Microlobius_foetidus,211
Millettia_dura,74
Millettia_extensa,43
Millettia_ferruginea,24
Millettia_grandis,123
Millettia_laurentii,78
Millettia_macrophylla,35
Millettia_stuhlmannii,68
Millettia_thonningii,557
Millettia_usaramensis,70
Mimosa_aculeaticarpa,1079
Mimosa_acutistipula,257
Mimosa_adenocarpa,69
Mimosa_affinis,144
Mimosa_albida,2473
Mimosa_arenosa,503
Mimosa_bahamensis,683
Mimosa_benthamii,298
Mimosa_bimucronata,401
Mimosa_blanchetii,55
Mimosa_borealis,825
Mimosa_caesalpiniifolia,335
Mimosa_calodendron,50
Mimosa_campicola,28
Mimosa_camporum,214
Mimosa_casta,61
Mimosa_ceratonia,114
Mimosa_cordistipula,43
Mimosa_debilis,885
Mimosa_depauperata,49
Mimosa_diplotricha,988
Mimosa_dormiens,55
Mimosa_dysocarpa,406
Mimosa_filipes,100
Mimosa_flagellaris,46
Mimosa_flocculosa,45
Mimosa_foliolosa,403
Mimosa_furfuracea,45
Mimosa_gemmulata,209
Mimosa_grahamii,113
Mimosa_guilandinae,202
Mimosa_hamata,35
Mimosa_hexandra,131
Mimosa_hirsutissima,299
Mimosa_hondurana,70
Mimosa_hypoglauca,116
Mimosa_irrigua,63
Mimosa_lacerata,157
Mimosa_lactiflua,131
Mimosa_lanuginosa,83
Mimosa_latispinosa,46
Mimosa_lewisii,98
Mimosa_luisana,79
Mimosa_melanocarpa,33
Mimosa_mensicola,11
Mimosa_mollis,79
Mimosa_monancistra,219
Mimosa_monticola,17
Mimosa_occidentalis,58
Mimosa_ophthalmocentra,236
Mimosa_orthocarpa,82
Mimosa_paludosa,298
Mimosa_pigra,9415
Mimosa_polyantha,292
Mimosa_polycarpa,283
Mimosa_polydactyla,158
Mimosa_pteridifolia,151
Mimosa_pudica,9698
Mimosa_quadrivalvis,2928
Mimosa_rubicaulis,63
Mimosa_scabrella,265
Mimosa_schleidenii,13
Mimosa_sensibilis,122
Mimosa_sensitiva,350
Mimosa_skinneri,274
Mimosa_somnians,1125
Mimosa_strigillosa,1608
Mimosa_tenuiflora,705
Mimosa_tricephala,429
Mimosa_ulbrichiana,23
Mimosa_uliginosa,28
Mimosa_ursina,98
Mimosa_velloziana,339
Mimosa_verrucosa,154
Mimosa_xanthocentra,780
Mimozyganthus_carinatus,81
Mirbelia_dilatata,89
Mirbelia_floribunda,160
Mirbelia_ovata,66
Mirbelia_pungens,600
Mirbelia_ramulosa,248
Mirbelia_spinosa,304
Moldenhawera_floribunda,29
Monopteryx_inpae,40
Mora_excelsa,35
Moullava_spicata,34
Mucuna_birdwoodiana,141
Mucuna_bracteata,58
Mucuna_coriacea,81
Mucuna_gigantea,594
Mucuna_hainanensis,26
Mucuna_rostrata,165
Mucuna_sempervirens,114
Mucuna_urens,466
Muelleranthus_trifoliolatus,82
Mundulea_sericea,856
Myrocarpus_fastigiatus,29
Myroxylon_peruiferum,240
Neorautanenia_ficifolia,55
Neorautanenia_mitis,369
Neptunia_gracilis,1075
Neptunia_lutea,895
Neptunia_monosperma,544
Neptunia_plena,751
Neptunia_pubescens,949
Newtonia_buchananii,146
Nissolia_fruticosa,782
