gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4430787179				http://creativecommons.org/licenses/by-nc/4.0/	2023-10-24T01:58:14Z		https://www.inaturalist.org/observations/188650286	Darren Fielder					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/188650286	188650286		Darren Fielder																																							2017-10-22T10:31:00+10:00	10:31:00+10:00						2017/10/22 10:31 AM																AU	Queensland				Pentland QLD 4816, Australia												-20.611187	145.290561	EPSG:4326	200																																		420426128				Darren Fielder		2023-10-23T11:44:51Z				922672								Acacia melleodora								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Acacia							species							
4430740230				http://creativecommons.org/licenses/by-nc/4.0/	2023-10-24T01:59:46Z		https://www.inaturalist.org/observations/188648140	Darren Fielder					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/188648140	188648140		Darren Fielder																																							2017-10-22T09:13:00+10:00	09:13:00+10:00						2017/10/22 9:13 AM																AU	Queensland				Pentland QLD 4816, Australia												-20.60651	145.30376	EPSG:4326	200																																		420419841				Darren Fielder		2023-10-23T11:09:04Z				922672								Acacia melleodora								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Acacia							species							
4413498469				http://creativecommons.org/licenses/by/4.0/	2023-09-08T12:04:15Z		https://www.inaturalist.org/observations/95632568	Keith Martin-Smith					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/95632568	95632568		Keith Martin-Smith																																							2014-07-09T11:12:00+10:00	11:12:00+10:00						2014/07/09 11:12 AM AEST																AU	Northern Territory				Burt Plain NT 0872, Australia												-23.754011744	132.9754082738	EPSG:4326	31																																		208512368				Keith Martin-Smith		2021-09-21T06:39:17Z				922672								Acacia melleodora								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Acacia							species							
4141806624	https://florabase.dpaw.wa.gov.au/help/copyright		en	CC0	2022-12-23T04:03Z			Department of Biodiversity, Conservation and Attractions	PhysicalObject	https://www.gbif.org/grscicoll/institution/d129a8d1-2339-4a47-aa19-a8e0a078082a	https://www.gbif.org/grscicoll/collection/4c63d5f6-b20b-49e5-8006-e2af210eab0e		PERTH	PERTH	PERTH AVH data	PERTH	PRESERVED_SPECIMEN				54e737fa-ed3f-442d-b476-943999b4609d	PERTH 9509429	DEA 14262	Albrecht, D.E.|Jobson, P.C.															PRESENT									Red dune; deep sand.														DEA 14262	2015-09-09				2015	9	9	9 Sep 2015	Red dune; deep sand. Open shrubland. Dominant species: Melaleuca glomerata, Cullen ?badocanum, Grevillea stenobotrya, Aristida holathera, Triodia basedowii.														Australia	AU	Western Australia			Kiwirrkurra Indigenous Protected Area; c. 51.6 km due N of Kiwirrkurra	Kiwirrkurra Indigenous Protected Area; c. 51.6 km due N of Kiwirrkurra	375.0		375 m							collector		-22.352222	127.769722	EPSG:4326	100.0																																						D.E. Albrecht		2016-02-17		verified									https://id.biodiversity.org.au/node/apni/2889123	Acacia melleodora								Plantae	Charophyta	Equisetopsida	Fabales		Fabaceae				Acacia				melleodora			species		Pedley	Scented Wax Wattle	ICBN	accepted		
4116408609				http://creativecommons.org/licenses/by-nc/4.0/	2023-05-12T00:33:18Z		https://www.inaturalist.org/observations/160210809	bean_ar					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/160210809	160210809		bean_ar																								Shrub 2.2 metres high, leaves somwhat viscid.															2009-05-20T11:38:00+10:00	11:38:00+10:00						2009/05/20 11:38 AM																AU	Queensland				Lake Galilee QLD 4726, Australia												-22.418	145.5964	EPSG:4326																																			360114628				bean_ar		2023-05-07T01:17:22Z				922672								Acacia melleodora								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Acacia							species							
4017062896				UNSPECIFIED	2017-06-07T14:20:55				PhysicalObject				BRI	Herbrecs			PRESERVED_SPECIMEN				cae4c631-b4f4-4140-9d70-39dc445c218d	BRI AQ0169428	3116	Chippendale, G.							Fruit								PRESENT	Sheet								Shrub, 7ft., pod green, bark grey.															1956-10-22				1956	10	22											Australia, Northern Territory					Australia	AU	Northern Territory			1m. S of Elkedra Homestead.													-21.081866	135.417891	EPSG:4326	25000.0													Hrb Convert																																						https://id.biodiversity.org.au/node/apni/2889123	Acacia melleodora							Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Fabales | Leguminosae | Caesalpinioideae | Mimosoid clade | Acacia	Plantae	Charophyta	Equisetopsida	Fabales		Fabaceae				Acacia				melleodora			species		Pedley	Scented Wax Wattle	ICN			
4017062465				UNSPECIFIED	2017-06-07T14:20:55				PhysicalObject				BRI	Herbrecs			PRESERVED_SPECIMEN				c623fdbc-91f7-4f2b-9038-ee884edade79	BRI AQ0432807	47424	Beauglehole, A.C.|Carr, G.W.							Flowers and buds								PRESENT	Sheet																							1974-07-14				1974	7	14											Australia, Western Australia					Australia	AU	Western Australia			Ca. 19km SSE of Sturt Creek on Tanami Track.													-19.498585	128.501252	EPSG:4326	100000.0													Hrb Convert																											2014-01-01											https://id.biodiversity.org.au/node/apni/2889123	Acacia melleodora							Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Fabales | Leguminosae | Caesalpinioideae | Mimosoid clade | Acacia	Plantae	Charophyta	Equisetopsida	Fabales		Fabaceae				Acacia				melleodora			species		Pedley	Scented Wax Wattle	ICN			
4017062209				UNSPECIFIED	2017-06-07T14:20:55				PhysicalObject				BRI	Herbrecs			PRESERVED_SPECIMEN				66550dd6-14b3-495e-90c3-9f64636afd4d	BRI AQ0169425	5263	Lazarides, M.							Flowers and buds								PRESENT	Photograph|Sheet																							1955-05-12				1955	5	12								Common on sandy red earth with Eucalyptus terminalis open woodland. Erect, spreading shrub 4ft high with dark green, shiny phyllodes. Flowers yellow, in heads. Bark pale grey, almost smooth.			Australia, Northern Territory					Australia	AU	Northern Territory			22 miles WSW of Argadargada Station.													-21.748523	136.417885	EPSG:4326	25000.0													Hrb Convert																																						https://id.biodiversity.org.au/node/apni/2889123	Acacia melleodora							Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Fabales | Leguminosae | Caesalpinioideae | Mimosoid clade | Acacia	Plantae	Charophyta	Equisetopsida	Fabales		Fabaceae				Acacia				melleodora			species		Pedley	Scented Wax Wattle	ICN			
4017055259				UNSPECIFIED	2017-06-07T14:20:55				PhysicalObject				BRI	Herbrecs			PRESERVED_SPECIMEN				ac9ad709-0b9c-4ae3-8e44-a64c5a134058	BRI AQ0000500	2260	Gittins, C.H.							Buds								PRESENT	Sheet								Shrub to 2m., not glaucous.															1971-07-01				1971	7	1											Australia, Northern Territory					Australia	AU	Northern Territory			130km from Yuendumu towards Rabbit Flat.													-21.490239	130.94293	EPSG:4326	2000.0													Hrb Convert																											2014-01-01											https://id.biodiversity.org.au/node/apni/2889123	Acacia melleodora							Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Fabales | Leguminosae | Caesalpinioideae | Mimosoid clade | Acacia	Plantae	Charophyta	Equisetopsida	Fabales		Fabaceae				Acacia				melleodora			species		Pedley	Scented Wax Wattle	ICN			
4017051637				UNSPECIFIED	2017-06-07T14:20:55				PhysicalObject				BRI	Herbrecs			PRESERVED_SPECIMEN				c8836048-53c3-4aa5-95a1-3c078f57351b	BRI AQ0169414	7838	Everist, S.L.							Flowers								PRESENT	Sheet																							1965-09-11				1965	9	11								In sandy alluvium with Eucalyptus terminalis and Santalum lanceolatum. Slender shrub about 1m., phyllodes glaucous, flowers bright golden yellow.			Australia, Northern Territory					Australia	AU	Northern Territory			Ayers Rock, Maggies Spring.													-25.415238	131.084637	EPSG:4326	25000.0													Hrb Convert																																						https://id.biodiversity.org.au/node/apni/2889123	Acacia melleodora							Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Fabales | Leguminosae | Caesalpinioideae | Mimosoid clade | Acacia	Plantae	Charophyta	Equisetopsida	Fabales		Fabaceae				Acacia				melleodora			species		Pedley	Scented Wax Wattle	ICN			
