"Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"Abarema auriculata",0,1,0,0,3.66e+12,-3.56153462,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,3.56153462,1,0,0,"Abarema auriculata","Abarema auriculata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,731
"Abarema barbouriana",0,1,0,0,4.22e+12,-0.21255016,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,0.21255016,1,0,0,"Abarema barbouriana","Abarema barbouriana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,87
"Abarema brachystachya",0,1,0,0,4.9e+11,-23.22507591,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,23.22507591,1,0,0,"Abarema brachystachya","Abarema brachystachya","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,116
"Abarema campestris",0,0,0,0,0,NA,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Abarema campestris","Abarema campestris","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4915
"Abarema cochleata",0,1,0,0,3.13e+12,-4.22237921,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,4.22237921,1,0,0,"Abarema cochleata","Abarema cochleata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,128
"Abarema cochliocarpos",0,1,0,0,6.04e+11,-17.33272236,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,17.33272236,1,0,0,"Abarema cochliocarpos","Abarema cochliocarpos","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,87
"Abarema filamentosa",0,0,0,0,0,NA,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Abarema filamentosa","Abarema filamentosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,215
"Abarema floribunda",0,1,0,0,4.38e+12,-2.89143378,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,2.89143378,1,0,0,"Abarema floribunda","Abarema floribunda","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,872
"Abarema jupunba",0,1,0,0,6.4e+12,-7.07229421,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,7.07229421,1,0,0,"Abarema jupunba","Abarema jupunba","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,90
"Abarema macradenia",0,1,0,0,2.46e+12,11.16642911,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,11.16642911,1,0,0,"Abarema macradenia","Abarema macradenia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,102
"Abarema piresii",0,1,0,0,2.8e+12,-4.11243055,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,4.11243055,1,0,0,"Abarema piresii","Abarema piresii","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,99
"Abarema turbinata",0,1,0,0,5.6e+11,-12.4751082,"Ingeae","Abarema","Caesalpinioideae","Ingeae",1,12.4751082,1,0,0,"Abarema turbinata","Abarema turbinata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,294
"Abrus fruticulosus",0,1,0,0,1.51e+12,16.77009689,"Abreae","Abrus","Papilionoideae","Abreae",1,16.77009689,1,0,1,"Abrus fruticulosus","Abrus fruticulosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,523
"Abrus precatorius",1,1,4,1.48e+11,5.34e+13,9.00301812,"Abreae","Abrus","Papilionoideae","Abreae",1,9.00301812,1,0,7,"Abrus precatorius","Abrus precatorius","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,5,0,"Y","N",0,NA,0,528
"Acacia abyssinica",0,1,0,0,1.14e+13,13.64776358,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,13.64776358,1,0,0,"Acacia abyssinica","Acacia abyssinica","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia abyssinica",0,10687
"Acacia acinacea",1,1,3,4.57e+11,2.01e+12,-31.74043124,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,31.74043124,1,0,0,"Acacia acinacea","Acacia acinacea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9629
"Acacia acradenia",0,1,0,0,5.61e+12,-23.16077529,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,23.16077529,1,0,0,"Acacia acradenia","Acacia acradenia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia acradenia",0,9638
"Acacia acuminata",0,1,0,0,3.33e+12,-28.8181412,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,28.8181412,1,0,2,"Acacia acuminata","Acacia acuminata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,12660
"Acacia adenocalyx",0,1,0,0,2.31e+12,-5.42642733,"Acacieae","Acacia","Caesalpinioideae","Acacieae",0,5.42642733,1,0,0,"Acacia adenocalyx","Acacia adenocalyx","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9631
"Acacia adsurgens",0,1,0,0,6.59e+12,-24.24846479,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,24.24846479,1,0,0,"Acacia adsurgens","Acacia adsurgens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9669
"Acacia adunca",1,1,4,3.13e+12,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,1,"Acacia adunca","Acacia adunca","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia adunca",0,9710
"Acacia alata",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia alata","Acacia alata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0,12308
"Acacia alleniana",0,1,0,0,3.08e+12,-21.20529859,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,21.20529859,1,0,0,"Acacia alleniana","Acacia alleniana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,9633
"Acacia alpina",0,1,0,0,1.03e+12,-33.25653662,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,33.25653662,1,0,0,"Acacia alpina","Acacia alpina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,11507
"Acacia amoena",0,1,0,0,1.03e+12,-33.25127933,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,33.25127933,1,0,0,"Acacia amoena","Acacia amoena","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia amoena",0,9855
"Acacia ampliceps",0,1,0,0,3.88e+12,-23.4204532,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,23.4204532,1,0,0,"Acacia ampliceps","Acacia ampliceps","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,9633
"Acacia amythethophylla",0,1,0,0,1.56e+13,5.94028443,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,5.94028443,1,0,0,"Acacia amythethophylla","Acacia amythethophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9629
"Acacia anceps",0,1,0,0,3.51e+12,-26.80243548,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,26.80243548,1,0,0,"Acacia anceps","Acacia anceps","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9869
"Acacia ancistrocarpa",0,1,0,0,5.61e+12,-23.16077529,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,23.16077529,1,0,0,"Acacia ancistrocarpa","Acacia ancistrocarpa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,9632
"Acacia aneura",1,1,2,1.38e+12,7.39e+12,-25.1628483,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.1628483,1,0,1,"Acacia aneura","Acacia aneura","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,5,2,4,"Y","Y",1,"Acacia aneura",0,9674
"Acacia angustissima",1,1,2,9.84e+11,4.23e+12,21.47488705,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,21.47488705,1,0,0,"Acacia angustissima","Acacia angustissima","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia angustissima",0,9692
"Acacia arenaria",0,1,0,0,3.95e+12,-12.05670466,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,12.05670466,1,0,0,"Acacia arenaria","Acacia arenaria","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,10920
"Acacia argyrodendron",0,1,0,0,1.73e+12,-22.57378083,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,22.57378083,1,0,0,"Acacia argyrodendron","Acacia argyrodendron","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9635
"Acacia aroma",0,1,0,0,5.22e+12,-22.77391815,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,22.77391815,1,0,0,"Acacia aroma","Acacia aroma","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Vachellia aroma",0,19106
"Acacia aspera",0,1,0,0,1.03e+12,-33.25653662,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,33.25653662,1,0,0,"Acacia aspera","Acacia aspera","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,11173
"Acacia ataxacantha",0,1,0,0,1.73e+13,-9.5142675,"Acacieae","Acacia","Caesalpinioideae","Acacieae",0,9.5142675,1,0,0,"Acacia ataxacantha","Acacia ataxacantha","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia ataxacantha",0,9629
"Acacia aulacocarpa",0,1,0,0,9.34e+12,-8.51803986,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,8.51803986,1,0,1,"Acacia aulacocarpa","Acacia aulacocarpa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,4,4,1,"Y","Y",1,"Acacia aulacocarpa",0,9629
"Acacia auriculiformis",1,1,23,1.12e+13,4.09e+12,-5.85860106,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,5.85860106,1,0,4,"Acacia auriculiformis","Acacia auriculiformis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,22,19,3,"Y","Y",1,"Acacia auriculiformis",0,9635
"Acacia bahiensis",0,1,0,0,8.47e+12,-10.77227947,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,10.77227947,1,0,0,"Acacia bahiensis","Acacia bahiensis","CU*STAR",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9798
"Acacia baileyana",1,1,13,1.07e+13,6.27e+12,-26.80596132,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,26.80596132,1,0,2,"Acacia baileyana","Acacia baileyana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia baileyana",0,9648
"Acacia benthamii",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia benthamii","Acacia benthamii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9827
"Acacia berlandieri",0,1,0,0,7.51e+11,25.31401375,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.31401375,1,0,0,"Acacia berlandieri","Acacia berlandieri","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9785
"Acacia bidentata",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia bidentata","Acacia bidentata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9948
"Acacia biflora",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia biflora","Acacia biflora","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9798
"Acacia binervata",1,1,2,2.68e+11,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,2,"Acacia binervata","Acacia binervata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
"Acacia binervia",1,1,1,5.82e+11,1.03e+12,-33.25127933,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,33.25127933,1,0,0,"Acacia binervia","Acacia binervia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
"Acacia bivenosa",1,1,1,3.42e+11,5.61e+12,-23.16077529,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,23.16077529,1,0,1,"Acacia bivenosa","Acacia bivenosa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,1,"Y","Y",0,NA,0,9628
"Acacia blakei",0,1,0,0,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,0,"Acacia blakei","Acacia blakei","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia blakei",0,9676
"Acacia blakelyi",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia blakelyi","Acacia blakelyi","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia blakelyi",0,9644
"Acacia bonariensis",0,1,0,0,4.27e+12,-26.94705186,"Acacieae","Acacia","Caesalpinioideae","Acacieae",0,26.94705186,1,0,0,"Acacia bonariensis","Acacia bonariensis","CU*STAR",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Senegalia bonariensis",0,10316
"Acacia borleae",0,1,0,0,3.86e+12,-21.72947512,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,21.72947512,1,0,0,"Acacia borleae","Acacia borleae","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9629
"Acacia brachybotrya",1,1,1,1.15e+11,2.01e+12,-31.74043124,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,31.74043124,1,0,0,"Acacia brachybotrya","Acacia brachybotrya","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9635
"Acacia brachystachya",0,1,0,0,7.39e+12,-25.1628483,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.1628483,1,0,0,"Acacia brachystachya","Acacia brachystachya","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia brachystachya",0,9657
"Acacia brassii",0,1,0,0,1.73e+12,-22.57378083,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,22.57378083,1,0,0,"Acacia brassii","Acacia brassii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9687
"Acacia brownii",0,1,0,0,2.76e+12,-26.80239184,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,26.80239184,1,0,0,"Acacia brownii","Acacia brownii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9833
"Acacia brumalis",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia brumalis","Acacia brumalis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9666
"Acacia burkei",1,1,1,3.13e+11,4.44e+12,-22.42811457,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,22.42811457,1,0,0,"Acacia burkei","Acacia burkei","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9658
"Acacia buxifolia",1,1,1,1.89e+11,2.76e+12,-26.81043334,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,26.81043334,1,0,1,"Acacia buxifolia","Acacia buxifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9855
"Acacia bynoeana",0,1,0,0,8.02e+11,-32.17021086,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,32.17021086,1,0,0,"Acacia bynoeana","Acacia bynoeana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
"Acacia caesia",0,1,0,0,8.29e+12,19.25459014,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,19.25459014,1,0,3,"Acacia caesia","Acacia caesia","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia caesia",0,9877
"Acacia caffra",1,1,1,1.89e+11,4.05e+12,-21.71309195,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,21.71309195,1,0,0,"Acacia caffra","Acacia caffra","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia caffra",0,9885
"Acacia calamifolia",1,1,1,1284364074,2.01e+12,-31.74043124,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,31.74043124,1,0,1,"Acacia calamifolia","Acacia calamifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia calamifolia",0,9629
"Acacia cambagei",0,1,0,0,4.86e+12,-25.00497902,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.00497902,1,0,1,"Acacia cambagei","Acacia cambagei","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia cambagei",0,9628
"Acacia cana",0,1,0,0,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,0,"Acacia cana","Acacia cana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia cana",0,15358
"Acacia cangaiensis",0,1,0,0,8.02e+11,-32.17021086,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,32.17021086,1,0,0,"Acacia cangaiensis","Acacia cangaiensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
"Acacia cardiophylla",1,1,2,2.68e+11,8.02e+11,-32.17021086,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,32.17021086,1,0,1,"Acacia cardiophylla","Acacia cardiophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9647
"Acacia catechu",1,1,5,2.29e+12,8.61e+12,22.36270805,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,22.36270805,1,0,4,"Acacia catechu","Acacia catechu","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Senegalia catechu",0,10239
"Acacia catenulata",0,1,0,0,3.08e+12,-21.20529859,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,21.20529859,1,0,0,"Acacia catenulata","Acacia catenulata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9674
"Acacia caven",0,1,0,0,5.01e+12,-27.21964295,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,27.21964295,1,0,0,"Acacia caven","Acacia caven","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Vachellia caven",0,10070
"Acacia celastrifolia",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,1,"Acacia celastrifolia","Acacia celastrifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9631
"Acacia chariessa",0,1,0,0,3.9e+11,-19.00000691,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,19.00000691,1,0,0,"Acacia chariessa","Acacia chariessa","uBio NameBank",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia chariessa",0,9637
"Acacia chrysotricha",0,1,0,0,8.02e+11,-32.17021086,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,32.17021086,1,0,1,"Acacia chrysotricha","Acacia chrysotricha","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9666
"Acacia chundra",1,1,1,2645044536,5.42e+12,17.7198361,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,17.7198361,1,0,3,"Acacia chundra","Acacia chundra","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia chundra",0,9658
"Acacia cincinnata",0,1,0,0,1.73e+12,-22.57378083,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,22.57378083,1,0,1,"Acacia cincinnata","Acacia cincinnata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N",1,"Acacia cincinnata",0,9726
"Acacia citrinoviridis",0,1,0,0,2.53e+12,-25.46607155,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.46607155,1,0,0,"Acacia citrinoviridis","Acacia citrinoviridis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
"Acacia cochliacantha",0,1,0,0,3.03e+11,18.81953829,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,18.81953829,1,0,0,"Acacia cochliacantha","Acacia cochliacantha","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N",1,"Acacia cochliacantha",0,9628
"Acacia cognata",0,1,0,0,1.03e+12,-33.25127933,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,33.25127933,1,0,1,"Acacia cognata","Acacia cognata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,10415
"Acacia colei",0,1,0,0,5.61e+12,-23.16077529,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,23.16077529,1,0,3,"Acacia colei","Acacia colei","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9643
"Acacia colletioides",0,1,0,0,4.54e+12,-28.33581319,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,28.33581319,1,0,0,"Acacia colletioides","Acacia colletioides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
"Acacia collinsii",0,1,0,0,1.79e+11,12.02784754,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,12.02784754,1,0,0,"Acacia collinsii","Acacia collinsii","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia collinsii",1,9664
"Acacia complanata",0,1,0,0,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,1,"Acacia complanata","Acacia complanata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia complanata",0,9950
"Acacia concurrens",0,1,0,0,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,1,"Acacia concurrens","Acacia concurrens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,2,2,0,"Y","N",1,"Acacia concurrens",0,9632
"Acacia confusa",1,1,13,3.58e+12,1.25e+12,21.89229771,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,21.89229771,1,0,3,"Acacia confusa","Acacia confusa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,1,0,"Y","N",1,"Acacia confusa",0,10104
"Acacia constricta",0,1,0,0,1.77e+12,26.54462355,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,26.54462355,1,0,0,"Acacia constricta","Acacia constricta","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia constricta",0,9942
"Acacia coriacea",0,1,0,0,7.39e+12,-25.1628483,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.1628483,1,0,0,"Acacia coriacea","Acacia coriacea","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,1,"Y","Y",1,"Acacia coriacea",0,10517
"Acacia cornigera",1,1,5,1.34e+12,2.4e+12,17.79278687,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,17.79278687,1,0,1,"Acacia cornigera","Acacia cornigera","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia cornigera",1,9706
"Acacia cowleana",0,1,0,0,6.41e+12,-24.36798012,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,24.36798012,1,0,0,"Acacia cowleana","Acacia cowleana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,1,"Y","Y",0,NA,0,9628
"Acacia crassicarpa",0,1,0,0,2.13e+12,-14.62126575,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,14.62126575,1,0,1,"Acacia crassicarpa","Acacia crassicarpa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,1,"Y","Y",0,NA,0,9630
"Acacia cultriformis",1,1,13,2.08e+13,2.53e+12,-25.79163463,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,25.79163463,1,0,1,"Acacia cultriformis","Acacia cultriformis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia cultriformis",0,9633
"Acacia cuthbertsonii",0,1,0,0,3.88e+12,-23.4204532,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,23.4204532,1,0,0,"Acacia cuthbertsonii","Acacia cuthbertsonii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9630
"Acacia cyclops",1,1,5,5.1e+12,3.51e+12,-26.80243548,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,26.80243548,1,0,4,"Acacia cyclops","Acacia cyclops","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N",1,"Acacia cyclops",0,10784
"Acacia cyperophylla",0,1,0,0,6.59e+12,-24.24846479,"Acacieae","Acacia","Caesalpinioideae","Acacieae",1,24.24846479,1,0,0,"Acacia cyperophylla","Acacia cyperophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,9628
