"Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"Astragalus luristanicus",0,1,0,0,1.62e+12,32.56479713,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,32.56479713,1,0,0,"Astragalus luristanicus","Astragalus luristanicus","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3899
"Astragalus miniatus",0,1,0,0,3.65e+12,46.64285766,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,46.64285766,0,0,0,"Astragalus miniatus","Astragalus miniatus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3986
"Astragalus miser",0,1,0,0,2.32e+12,42.08428343,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,42.08428343,1,0,0,"Astragalus miser","Astragalus miser","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4537
"Astragalus missouriensis",0,1,0,0,3.47e+12,40.03835241,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,40.03835241,1,0,0,"Astragalus missouriensis","Astragalus missouriensis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4008
"Astragalus mollissimus",0,1,0,0,2.12e+12,36.49303904,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,36.49303904,0,0,0,"Astragalus mollissimus","Astragalus mollissimus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3902
"Astragalus monspessulanus",0,1,0,0,5.61e+12,42.46664936,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,42.46664936,0,0,2,"Astragalus monspessulanus","Astragalus monspessulanus","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,3,0,"Y","N",0,NA,0,3925
"Astragalus neglectus",0,1,0,0,9.22e+12,42.53155377,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,42.53155377,0,0,0,"Astragalus neglectus","Astragalus neglectus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4268
"Astragalus nothoxys",0,1,0,0,6.09e+11,34.36209004,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,34.36209004,0,0,0,"Astragalus nothoxys","Astragalus nothoxys","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3896
"Astragalus nuttallianus",0,1,0,0,2.87e+12,35.89107817,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,35.89107817,0,1,0,"Astragalus nuttallianus","Astragalus nuttallianus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3899
"Astragalus nuttallii",0,1,0,0,4.08e+11,37.23999046,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,37.23999046,0,0,0,"Astragalus nuttallii","Astragalus nuttallii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4147
"Astragalus odoratus",1,1,1,2.31e+11,6.07e+12,40.88179525,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,40.88179525,0,0,0,"Astragalus odoratus","Astragalus odoratus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4195
"Astragalus onobrychis",0,1,0,0,2.19e+13,44.24515104,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,44.24515104,0,0,3,"Astragalus onobrychis","Astragalus onobrychis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N",0,NA,0,4323
"Astragalus orbiculatus",0,1,0,0,8.68e+12,37.41059884,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,37.41059884,0,0,0,"Astragalus orbiculatus","Astragalus orbiculatus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4047
"Astragalus oxyglottis",0,1,0,0,1.13e+13,39.48917967,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,39.48917967,0,1,0,"Astragalus oxyglottis","Astragalus oxyglottis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,3896
"Astragalus palmeri",0,1,0,0,4.08e+11,37.23999046,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,37.23999046,0,0,0,"Astragalus palmeri","Astragalus palmeri","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,6713
"Astragalus pectinatus",0,1,0,0,1.7e+12,43.35977342,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,43.35977342,0,0,0,"Astragalus pectinatus","Astragalus pectinatus","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,4230
"Astragalus pehuenches",0,0,0,0,0,NA,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,NA,0,0.171641791,0,"Astragalus pehuenches","Astragalus pehuenches","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3911
"Astragalus pelecinus",0,1,0,0,1.5e+13,32.30291034,"Galegeae","Astragalus","Papilionoideae","Galegeae",1,32.30291034,0,1,1,"Astragalus pelecinus","Astragalus pelecinus","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3944
