"","nat_species","nat_intrdcd","nat_n","nat_precip_maxquant","nat_precip_minquant","nat_precip_mean","nat_precip_median","nat_nitro_maxquant","nat_nitro_minquant","nat_nitro_mean","nat_nitro_median","nat_temp_maxquant","nat_temp_minquant","nat_temp_mean","nat_temp_median","nat_max_lat","nat_min_lat","nat_mean_lat","nat_median_lat","nat_quant95","nat_quant005","nat_precip_range","nat_temp_range","nat_nitro_range","nat_abs_med_lat","nat_Phy","nat_introduced","nat_native","nat_num_introduced","nat_total_area_introduced","nat_total_area_native","nat_lat_native","nat_tribe","nat_genus","nat_subfamily","nat_tribe_ncbi","nat_fixer","nat_abs_lat_native","nat_woody","nat_annual","nat_uses_num_uses","nat_submitted_name","nat_matched_name","nat_data_source_title","nat_score","nat_num_words","nat_diff","nat_RangeY","nat_domY","nat_efnY","nat_n.records","nat_sum.AM","nat_sum.EM","nat_AM","nat_EM","nat_EFN","nat_matched_name_EFN","nat_Domatia","nat_Count"
"58","Canavalia_cathartica",0,156,3488.25,642.5,1845.46794871795,1648.5,419.25,85,213.147435897436,182,27.726041316986,18.6593751907349,23.5689102564103,23.5583324432373,26.6518,-29.625,4.67889046794872,6.989839,24.3910455,-25.6821865,2845.75,9.06666612625117,334.25,6.989839,"Canavalia cathartica",1,1,1,16858731371,2.05e+13,-0.20727858,"Phaseoleae","Canavalia","Papilionoideae","Phaseoleae","1",0.20727858,1,0,2,"Canavalia cathartica","Canavalia cathartica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,"0",1014
"59","Canavalia_gladiata",0,79,2204.3,781.6,1461.79746835443,1493,472.899999999999,113,232.73417721519,186,27.0945838928223,15.0070834159851,20.8179852328723,20.4874992370605,34.84617,8.383333,22.8462207721519,23.473501,29.933,12.5370085,1422.7,12.0875004768372,359.899999999999,23.473501,"Canavalia gladiata",1,1,26,2.74e+13,9.06e+12,15.36986344,"Phaseoleae","Canavalia","Papilionoideae","Phaseoleae","1",15.36986344,1,0,5,"Canavalia gladiata","Canavalia gladiata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,2,2,0,"Y","N","1","Canavalia gladiata","0",885
"60","Caragana_arborescens",0,1576,631,303,473.289340101523,463,448.25,250,338.098350253807,328,3.31979161500931,-2.88437521457672,1.10343961806839,1.37083339691162,65.529594,38.84,53.7527630329949,53.8219725,57.1622255,50.15,328,6.20416682958603,198.25,53.8219725,"Caragana arborescens",1,1,16,1.92e+13,8.7e+12,44.66466854,"Galegeae","Caragana","Papilionoideae","Caraganeae","1",44.66466854,1,0,7,"Caragana arborescens","Caragana arborescens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,8,8,0,"Y","N","0",NA,"0",1629
"61","Caragana_frutex",0,1104,662.85,348.15,513.73731884058,521,478.85,234,331.232789855072,323,9.53333377838135,0.658958360552788,4.66162439559222,4.13958334922791,61.24786,38.116667,51.6548744230072,51.7670995,56.05174285,47.25741165,314.7,8.87437541782856,244.85,51.7670995,"Caragana frutex",1,1,2,7.47e+11,1.92e+13,48.67439406,"Galegeae","Caragana","Papilionoideae","Caraganeae","1",48.67439406,1,0,4,"Caragana frutex","Caragana frutex","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",702
"62","Caragana_sinica",0,170,1665.8,557.45,1121.31764705882,1118,325,87.8,190.558823529412,178,18.9593753814697,11.4404166221618,15.6087010047015,15.8687500953674,41.39,22.32,30.7479725529412,30.84,37.8773355,25.02850005,1108.35,7.51895875930786,237.2,30.84,"Caragana sinica",1,1,1,2.44e+11,2.53e+12,28.9499186,"Galegeae","Caragana","Papilionoideae","Caraganeae","1",28.9499186,1,0,2,"Caragana sinica","Caragana sinica","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,"0",136947
"63","Cassia_fistula",0,682,3063.8,657,1403.50439882698,1189.5,318.7,86,180.810850439883,165,28.5370837211609,22.1383340835572,25.853604571211,26.3500003814697,34.354946,6.206163,17.1740901524927,16.1764085,28.0108329,8.64758195,2406.8,6.39874963760369,232.7,16.1764085,"Cassia fistula",1,1,47,3.9e+13,1.02e+13,10.68922491,"Cassieae","Cassia","Caesalpinioideae","Cassieae","0",10.68922491,1,0,7,"Cassia fistula","Cassia fistula","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,11,9,2,"Y","Y","0",NA,"0",57658
"64","Cassia_grandis",0,558,3117.3,989.2,1882.229390681,1703.5,538,134.85,273.521505376344,243,27.7762495994568,21.0075005531311,25.2981033205559,25.7895832061768,22.8946,-24.715,6.20348227562724,9.7227105,18.62575,-18.9798536,2128.1,6.76874904632566,403.15,9.7227105,"Cassia grandis",1,1,17,9.33e+12,1.27e+13,2.34618617,"Cassieae","Cassia","Caesalpinioideae","Cassieae","0",2.34618617,1,0,4,"Cassia grandis","Cassia grandis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N","0",NA,"0",16247
"65","Centrosema_molle",0,503,3186.5,1073,1900.98409542744,1791,517.9,138.1,283,250,27.3899997711182,18.8604162216186,24.482695498002,25.2999992370605,21.866667,-22,7.32586260715706,9.216667,17.246667,-15,2113.5,8.52958354949953,379.8,9.216667,"Centrosema molle",1,1,11,2.28e+13,1.93e+12,-0.25693151,"Phaseoleae","Centrosema","Papilionoideae","Phaseoleae","1",0.25693151,0,0,3,"Centrosema molle","Centrosema molle","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",2802
"66","Centrosema_pascuorum",0,160,1658.4,562.85,1064.6125,1038,242,82,142.73125,127,27.6883333206177,22.5212493896484,25.500364613533,25.8895835876465,17.29444,-30.101167,-3.872907698125,-5.995278,14.078468,-19.16320835,1095.55,5.16708393096922,160,5.995278,"Centrosema pascuorum",1,1,1,1.28e+11,1.02e+13,-0.2659573,"Phaseoleae","Centrosema","Papilionoideae","Phaseoleae","1",0.2659573,1,0,0,"Centrosema pascuorum","Centrosema pascuorum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,"0",201
"67","Centrosema_plumieri",0,697,2971,964.6,1729.14777618364,1593,605.4,130,292.880918220947,257,27.279167175293,20.2025001525879,24.5271700157155,25.3791656494141,23.000717,-26.912087,10.9302031362984,15,21.1814512,-14.0033334,2006.4,7.07666702270514,475.4,15,"Centrosema plumieri",1,1,15,8.07e+12,1.03e+13,5.68593226,"Phaseoleae","Centrosema","Papilionoideae","Phaseoleae","1",5.68593226,1,0,2,"Centrosema plumieri","Centrosema plumieri","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",275
"68","Centrosema_pubescens",0,998,2882.8,870.55,1713.76753507014,1605.5,541,125,277.127254509018,241,27.0977079391479,18.5587500572205,23.4151093544129,23.6604166030884,25.663027,-28.81,8.03514328256513,13.7170745,20.71083335,-20.5055279,2012.25,8.53895788192747,416,13.7170745,"Centrosema pubescens",1,1,31,2.51e+13,2.11e+13,2.2174588,"Phaseoleae","Centrosema","Papilionoideae","Phaseoleae","1",2.2174588,0,0,3,"Centrosema pubescens","Centrosema pubescens","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N","0",NA,"0",2652
