"","species","intrdcd","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","precip_range","temp_range","nitro_range","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"229","Tipuana_tipu",1,658,1249.05,291.85,619.382978723404,577,221,107,155.843465045593,148,20.508540725708,15.2320834636688,17.4091185610345,17.5499992370605,43.277616,-35.253375,26.2053292267477,38.351326,41.49964155,-27.87427965,957.2,5.2764572620392,114,"Tipuana tipu",1,1,11,1.49e+13,1.32e+12,-20.5262858,"Dalbergieae","Tipuana","Papilionoideae","Dalbergieae","1",20.5262858,1,0,6,"Tipuana tipu","Tipuana tipu","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N","0",NA,0,1201
"230","Trifolium_angustifolium",1,3358,939,398.85,614.020250148898,584,290,101,190.450565812984,185,16.5847914695739,12.6243750095367,14.4417547692565,14.408332824707,55.610136,-44.252,-29.782119559589,-36.78205,37.39864085,-37.92586,540.15,3.9604164600372,189,"Trifolium angustifolium",1,1,9,8.58e+12,1.11e+13,37.51986559,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",37.51986559,0,1,1,"Trifolium angustifolium","Trifolium angustifolium","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N","0",NA,0,4765
"231","Trifolium_arvense",1,11074,1266,401,740.304587321654,699,403,85,203.447625067726,183,17.5541667938232,6.44708318710327,13.7876636706498,14.5083332061768,57.533,-46.898664,-20.3844524425411,-34.6690885,45.5366093,-37.9044,865,11.1070836067199,318,"Trifolium arvense",1,1,13,1.37e+13,3.88e+13,42.63744678,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",42.63744678,0,1,3,"Trifolium arvense","Trifolium arvense","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N","0",NA,0,5107
"232","Trifolium_aureum",1,821,1362,616,972.991473812424,976,670,172,357.231425091352,314,10.033332824707,3.07916665077209,6.66808261447354,6.62916660308838,57.674613,-44.9481093,43.5745506917174,44.855895,55.849833,41.220939,746,6.95416617393491,498,"Trifolium aureum",1,1,7,1.05e+12,2.26e+13,46.74245057,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",46.74245057,0,0,3,"Trifolium aureum","Trifolium aureum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,6,6,0,"Y","N","0",NA,0,4466
"233","Trifolium_campestre",1,8367,1432,440,838.407792518226,761,369,100,207.173777937134,187,17.6416664123535,7.69583320617676,13.9598681308989,14.3166666030884,68.648951,-49.758056,-9.78550046366679,-32.889123,44.0053751,-37.7497742,992,9.94583320617674,269,"Trifolium campestre",1,1,20,4.09e+13,3.56e+13,40.42564479,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",40.42564479,0,1,3,"Trifolium campestre","Trifolium campestre","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,0,"N","N","0",NA,0,4331
"234","Trifolium_cernuum",1,559,1194,424.8,730.450805008945,705,320,103.7,199.457960644007,197,17.9429174423218,11.3937504768372,14.471340207593,14.4416666030884,44.9258,-43.542321,-33.094128652415,-36.0483,-30.0479484,-38.37988,769.2,6.54916696548461,216.3,"Trifolium cernuum",1,1,15,1.28e+13,1.54e+12,38.95373887,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",38.95373887,0,1,0,"Trifolium cernuum","Trifolium cernuum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4148
"235","Trifolium_dubium",1,6565,2030.8,536,1036.1529322163,891,548.799999999999,109,269.012185833968,250,18.0375003814697,8.34249954223633,13.1883244456359,13.3583335876465,65.064038,-51.954858,-16.4360082395126,-36.2713,45.5047846,-42.778648,1494.8,9.69500083923337,439.799999999999,"Trifolium dubium",1,1,33,4.03e+13,1.3e+13,42.81116957,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",42.81116957,0,1,2,"Trifolium dubium","Trifolium dubium","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,7,7,0,"Y","N","0",NA,0,4363
"236","Trifolium_fragiferum",1,1700,1104.05,284.95,656.626470588235,640,365,100,225.574117647059,221,17.3752082824707,9.26583309173584,13.8747818653724,14.1750001907349,48.75972,-46.360734,-11.9014999611765,-36.25745,43.7290387,-38.55807,819.1,8.10937519073486,265,"Trifolium fragiferum",1,1,7,2.39e+13,3.47e+13,39.85261222,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",39.85261222,0,0,4,"Trifolium fragiferum","Trifolium fragiferum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,3,0,"Y","N","0",NA,0,4030
"237","Trifolium_glomeratum",1,4736,1022.25,396,645.347550675676,627,303,89,188.082559121622,175,17.701042175293,11.5281245708466,14.8883340454383,15.0083332061768,45.709444,-45.57834,-32.4254697947846,-35.6610575,-29.67652425,-38.4319,626.25,6.1729176044464,214,"Trifolium glomeratum",1,1,12,1.41e+13,8.45e+12,39.12665103,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",39.12665103,0,0,2,"Trifolium glomeratum","Trifolium glomeratum","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N","0",NA,0,4082
"238","Trifolium_hirtum",1,2416,1182,336,716.068294701987,673,252.25,87,164.697847682119,162,17.8135418891907,12.2083330154419,15.1108495500309,15.0708332061768,45.63465,-41.569461,30.9799658474752,37.819032,40.56884075,-32.2922705,846,5.60520887374877,165.25,"Trifolium hirtum",1,1,7,9.19e+12,8.07e+12,38.56370637,"Trifolieae","Trifolium","Papilionoideae","Trifolieae","1",38.56370637,0,1,1,"Trifolium hirtum","Trifolium hirtum","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,4353
