"","X.1","X","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","precip_range","temp_range","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","species.y","nitro_range","log_temp_range","log_precip_range","log_nitro_range"
"2428",2561,559,"Bauhinia_galpinii",471,1277.5,579,852.541401273885,795,212,80,137.889596602972,134,24.4833335876465,17.1958332061768,20.6419144000724,20.6041660308838,19.864329,-30.375,-23.8435691061571,-25.375,-18.0634495,-27.964208,698.5,7.28750038146975,1,1,15,4.96e+12,3.86e+12,-21.72947512,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,21.72947512,1,0,1,"Bauhinia galpinii","Bauhinia galpinii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,1545,"Bauhinia galpinii",132,1.98616060402237,6.54893517869702,4.88280192258637
"2429",2562,567,"Bauhinia_pottsii",36,3720.5,1364.75,2516.72222222222,2478,413,141,257.416666666667,244.5,27.8052077293396,22.9958338737488,26.1553241411845,26.7041664123535,21.15444,-8.116667,7.70670175,8.8239055,17.09583325,-2.1791665,2355.75,4.80937385559077,0,1,0,0,4.75e+12,4.51022825,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,4.51022825,1,0,1,"Bauhinia pottsii","Bauhinia pottsii","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1537,"Bauhinia pottsii",272,1.57056690009124,7.76461442708687,5.605802066296
"2430",2563,565,"Bauhinia_petersiana",164,1295.05,627.45,998.823170731707,1036,155.55,60,103.573170731707,100,25.6900006294251,18.917707824707,22.4859248079905,22.7083339691162,-4.656636,-20.628146,-13.3390195914634,-13.741432,-6.761499,-19.11503685,667.6,6.77229280471809,1,1,1,82436185963,1.06e+13,-18.58533779,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,18.58533779,1,0,0,"Bauhinia petersiana","Bauhinia petersiana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0,1553,"Bauhinia petersiana",95.55,1.91283970089053,6.50368919178768,4.55964967068628
"2431",2564,572,"Bauhinia_rufescens",635,1047.5,221,515.867716535433,420,164.3,32,77.0881889763779,63,29.9191659927368,26.0945831298828,28.1405117875948,28.2875003814697,19.0333,6.3,13.2145958519685,13.166667,16.416667,10.1132703,826.5,3.82458286285401,1,1,4,2.88e+12,9.9e+12,14.34085223,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,14.34085223,1,0,6,"Bauhinia rufescens","Bauhinia rufescens","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,2472,"Bauhinia rufescens",132.3,1.34144940586852,6.71719991726108,4.88507207112091
"2432",2565,570,"Bauhinia_racemosa",85,3960.8,618.2,1384.4,1056,271,97.8,173.905882352941,171,28.3999996185303,20.892499923706,25.4080392725328,25.8291664123535,30.0965,6.463156,16.3384076352941,14.969662,23.60526,8.4992098,3342.6,7.50749969482424,1,1,6,3.09e+12,7.67e+12,18.96431775,"Cercideae","Bauhinia","Cercidoideae","Cercideae",1,18.96431775,1,0,5,"Bauhinia racemosa","Bauhinia racemosa","National Center for Biotechnology Information",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N",0,NA,0,3377,"Bauhinia racemosa",173.2,2.0159024802259,8.11450422625482,5.15444699612833
"2433",2566,554,"Bauhinia_brachycarpa",316,1588,613.75,1029.25949367089,965,462.75,145.75,284.658227848101,252,20.9854164123535,6.62812519073486,14.9594145715237,15.8624997138978,41.03,15.87,27.3503982816456,27.0681885,32.35,22.775,974.25,14.3572912216187,0,1,0,0,4.39e+12,24.29386862,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,24.29386862,1,0,0,"Bauhinia brachycarpa","Bauhinia brachycarpa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1596,"Bauhinia brachycarpa",317,2.66425791223451,6.88166794421882,5.75890177387728
"2434",2567,550,"Bauhinia_acreana",104,2467.2,1011.8,1868.23076923077,1854,288.1,120.9,175.346153846154,158.5,26.7279160499573,22.1902086257935,25.4008413094741,25.5541667938232,-1.776389,-18.96666,-8.42157325769231,-9.1516665,-3.20890265,-12.6602471,1455.4,4.53770742416381,0,1,0,0,1.09e+13,-11.71981137,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,11.71981137,1,0,0,"Bauhinia acreana","Bauhinia acreana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1577,"Bauhinia acreana",167.2,1.51242191186049,7.28303605591299,5.1191907006506
"2435",2568,564,"Bauhinia_pentandra",328,1604.6,539.35,1029.7987804878,1001.5,190.65,85.35,129.115853658537,121.5,26.845832824707,22.6424997329712,24.9074948531825,25.0625,-3.773299,-21.763333,-12.2302066118902,-10.2834445,-5.0783609,-20.78423585,1065.25,4.20333309173582,0,0,0,0,0,NA,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,NA,1,0,0,"Bauhinia pentandra","Bauhinia pentandra","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,2031,"Bauhinia pentandra",105.3,1.43587780383112,6.97096479238002,4.65681341913993
"2436",2569,553,"Bauhinia_bauhinioides",72,1459.55,832.85,1188.79166666667,1145,191,111,140.277777777778,138,26.3960418701172,22.511249923706,24.7390624682109,25.4354162216187,-6.335278,-25.6,-19.5553187166667,-19.597665,-8.80236729999999,-25.3895,626.7,3.88479194641115,0,1,0,0,1.17e+13,-20.47849081,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,20.47849081,1,0,0,"Bauhinia bauhinioides","Bauhinia bauhinioides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1524,"Bauhinia bauhinioides",80,1.35706942933827,6.44046795723063,4.38202663467388
"2437",2570,563,"Bauhinia_pauletia",199,2088.7,822.7,1357.74874371859,1249,396,150,234.326633165829,211,27.996665763855,22.8324993133545,25.9368089886766,26.3250007629395,25,3.8811,14.7807970447236,14.86666,19.533528,8.306277,1266,5.16416645050053,0,0,0,0,0,NA,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,NA,1,0,0,"Bauhinia pauletia","Bauhinia pauletia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Bauhinia pauletia",0,1524,"Bauhinia pauletia",246,1.64174370532715,7.14361760270412,5.50533153593236
"2438",2571,558,"Bauhinia_forficata",905,1960.6,739,1394.43867403315,1386,334,120,215.949171270718,207,24.3474994659423,16.1891666412354,19.9178038641893,19.75,-2.23,-38.044167,-24.1130067089503,-24.642778,-11.945407,-34.3439074,1221.6,8.15833282470697,1,1,1,776198018,1.4e+13,-15.98959109,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,15.98959109,1,0,0,"Bauhinia forficata","Bauhinia forficata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,4,4,0,"Y","N",0,NA,0,1538,"Bauhinia forficata",214,2.09903983740407,7.10791675390442,5.36597601502185
"2439",2572,568,"Bauhinia_pulchella",382,1967.9,703.05,1303.37958115183,1349,214,99,147.253926701571,142.5,26.3952089309692,20.1358331680298,23.2894851574723,23.3500003814697,-2.93806,-22.8833,-11.7515514057592,-12.6333335,-4.52905545,-19.84833,1264.85,6.25937576293941,0,1,0,0,8.47e+12,-10.77227947,"Cercideae","Bauhinia","Cercidoideae","Cercideae",1,10.77227947,1,0,0,"Bauhinia pulchella","Bauhinia pulchella","National Center for Biotechnology Information",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,0,"N","N",0,NA,0,2102,"Bauhinia pulchella",115,1.83408046175951,7.1427088170557,4.74493212836325
"2440",2573,574,"Bauhinia_ungulata",1412,2375.15,988,1555.45113314448,1503.5,407,109,203.237960339943,167,27.279167175293,21.3814586639405,24.7727897322549,25.15625,27.027222,-26.05,-1.35834301111898,-6.256693,20.4380947,-21.1224862,1387.15,5.89770851135254,1,1,1,328505238.2,1.07e+13,-7.8624843,"Cercideae","Bauhinia","Cercidoideae","Cercideae",0,7.8624843,1,0,0,"Bauhinia ungulata","Bauhinia ungulata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Bauhinia ungulata",0,1579,"Bauhinia ungulata",298,1.77456388756321,7.23500656154739,5.6970934865054
