"","X","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","median_long","quant95","quant005","biome","precip_range","temp_range","nitro_range","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","species.y"
"1361",1408,"Inga_punctata",1654,3562.55,1205.65,2296.62756952842,2221.5,635,156,331.8276904474,292,27,18.1708335876465,23.3981055671387,24.1125001907348,22.871,-18.10833,7.5167152519347,9.3278215,-82.9540695,19.9431055,-12.56783355,"1",2356.9,8.8291664123535,479,0,1,0,0,1.41e+13,6.28999587,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,6.28999587,1,0,0,"Inga punctata","Inga punctata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Inga punctata",0,24122,"Inga punctata"
"1362",1409,"Inga_rubiginosa",107,2954.6,1482.9,2257.17757009346,2296,380.1,126.4,211.700934579439,185,27.0341659545899,21.9266660690308,25.4217289273984,25.9249992370605,8.666667,-16.559722,-0.447085140186916,-0.833333,-54.9372,8.033333,-12.0675,"1",1471.7,5.10749988555909,253.7,0,0,0,0,0,NA,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Inga rubiginosa","Inga rubiginosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,22291,"Inga rubiginosa"
"1363",1410,"Inga_sertulifera",290,4145.95,1646.95,2650.38965517241,2549.5,517,143,267.072413793103,225,27.065207862854,21.8437504768372,25.2160919057912,25.6145830154419,12.258611,-16.08333,0.692053524827586,1.6317085,-70.661202,10.6683315,-11.8697814,"1",2499,5.22145738601686,374,0,1,0,0,1.26e+13,-0.83196226,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,0.83196226,1,0,0,"Inga sertulifera","Inga sertulifera","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,22063,"Inga sertulifera"
"1364",1411,"Inga_sessilis",295,2102.6,1261.4,1596.53220338983,1544,360.6,163,256.71186440678,263,22.3104160308838,14.8329170227051,18.1807203777766,17.720832824707,-9.110833,-30,-23.7381003715254,-23.58333,-46.809167,-20.0282945,-28.5479722,"1",841.2,7.47749900817874,197.6,0,0,0,0,0,NA,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Inga sessilis","Inga sessilis","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,2,2,0,"Y","N",0,NA,0,22329,"Inga sessilis"
"1365",1412,"Inga_spectabilis",396,5812.5,931.75,2783.64646464646,2659,592.25,166,330.027777777778,305,27.8541665077209,18.2822914123535,24.4047979802796,25.1750001907348,17.3081,-17.797778,3.86473526010101,5.73886,-76.42985,10.9005,-9.65562,"1",4880.75,9.5718750953674,426.25,0,1,0,0,2.69e+11,13.4920757,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,13.4920757,1,0,0,"Inga spectabilis","Inga spectabilis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Inga spectabilis",0,23143,"Inga spectabilis"
"1366",1413,"Inga_splendens",147,3141.8,1636.7,2272.44217687075,2209,406,133,211.333333333333,188,26.9454162597656,23.9291664123535,25.7854591940536,26.0125007629395,8.266667,-13.616389,-0.313478346938776,1.816667,-61.259075,7.5650001,-11.5944064,"1",1505.1,3.0162498474121,273,0,0,0,0,0,NA,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Inga splendens","Inga splendens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,23562,"Inga splendens"
"1367",1414,"Inga_stipularis",190,3286.6,1829.35,2539.85263157895,2472.5,376.05,137,210.778947368421,185.5,27.1141658782959,23.7775005340577,25.9308332543624,26.2249994277954,8.1667,-17.033333,-0.318072621052632,-0.6015225,-59.7808335,5.2936425,-9.68512195,"1",1457.25,3.33666534423826,239.05,0,1,0,0,1.02e+13,-5.1761259,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,5.1761259,1,0,0,"Inga stipularis","Inga stipularis","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Inga stipularis",0,22127,"Inga stipularis"
"1368",1415,"Inga_thibaudiana",1322,3694.1,1235.05,2349.34190620272,2298,516.6,128,251.338880484115,218.5,27.4956241607666,21.5127090454102,24.9187216304254,25.1749992370605,17.051389,-22.650833,-2.05834188638427,-1.0243335,-68.2489215,10.68604145,-16.266667,"1",2459.05,5.98291511535639,388.6,0,1,0,0,9.49e+12,5.21909774,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,5.21909774,1,0,0,"Inga thibaudiana","Inga thibaudiana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,22063,"Inga thibaudiana"
"1369",1416,"Inga_umbellifera",465,3599.2,1425.4,2493.40860215054,2466,523.6,140.4,283.466666666667,254,27.1958339691162,20.0733333587646,24.735143405135,25.2749996185303,10.955326,-18.11666,-0.391619687311828,1.13333,-72.64,9.3133336,-14.976667,"1",2173.8,7.12250061035162,383.2,0,1,0,0,1.19e+12,6.93521168,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,6.93521168,1,0,0,"Inga umbellifera","Inga umbellifera","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Inga umbellifera",0,22086,"Inga umbellifera"
"1370",1417,"Inga_uraguensis",99,1750.2,1011.7,1324.73737373737,1356,263.2,111,177.464646464646,178,22.3462507247925,18.0583324432373,20.1914983421865,20.625,-23.11666,-34.461224,-28.9034580707071,-28.501723,-58.131848,-25.3317094,-32.4870609,"7",738.5,4.28791828155522,152.2,0,0,0,0,0,NA,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Inga uraguensis","Inga uraguensis","Union 4",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,22063,"Inga uraguensis"
"1371",1418,"Inga_velutina",91,4052,1243.5,2556.72527472527,2508,659,147,325.010989010989,274,26.8645839691163,18.2145833969116,23.7915292676989,24.8833332061768,7.666667,-16.7261,-2.93355659340659,-2.273667,-75.392222,7.173997,-12.975,"1",2808.5,8.65000057220465,512,0,0,0,0,0,NA,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Inga velutina","Inga velutina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,22931,"Inga velutina"
"1372",1419,"Inga_vera",2806,2964,894,1683.48396293656,1552,522,130,276.171062009979,245,27.390625,18.5802087783814,23.6670735397257,24.1625003814697,26.265216,-30.553333,9.48992440584462,16.102083,-89.311666,21.285569,-22.36665,"1",2070,8.81041622161865,392,1,1,1,2.12e+12,5.41e+12,14.41102883,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,14.41102883,1,0,0,"Inga vera","Inga vera","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,1,1,0,"Y","N",1,"Inga vera",0,139838,"Inga vera"
"1373",1420,"Inga_vulpina",69,1938,1204.8,1505.28985507246,1524,276.4,141,200.985507246377,188,21.6950004577637,16.6825004577637,18.8276569808739,18.9166660308838,-10.094019,-29.366944,-21.0046089927536,-20.360845,-43.726111,-17.328,-25.3950464,"1",733.199999999999,5.01249999999996,135.4,0,0,0,0,0,NA,"Ingeae","Inga","Caesalpinioideae","Ingeae",1,NA,1,0,0,"Inga vulpina","Inga vulpina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,22137,"Inga vulpina"
