"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","quant95","quant005","Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count","precip_range","temp_range","nitro_range"
"11","Acacia_longifolia",9443,1360,511,926.389706661019,920,367,137,239.83140950969,228,18.091667175293,12.3125,15.2687969987932,14.9333333969116,46.054441,-45.880857,-31.117050848851,-35.019609,33.9866376,-38.36292,"Acacia longifolia",1,1,20,2.05e+13,3.81e+12,-34.81475557,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",34.81475557,1,0,1,"Acacia longifolia","Acacia longifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Acacia longifolia",0,11415,849,5.779167175293,230
"12","Acacia_mangium",387,3602.7,1375.5,2257.0826873385,2151,379,84,214.023255813953,199,27.4887498855591,20.7629167556762,25.1713608980795,25.7541675567627,25.244044,-27.865173,-4.05962534108527,-8.640213,19.1431592,-18.5714193,"Acacia mangium",1,1,7,5.7e+11,4.72e+12,-6.73971578,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",6.73971578,1,0,3,"Acacia mangium","Acacia mangium","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,13,11,5,"Y","Y","0",NA,0,9676,2227.2,6.72583312988285,295
"13","Acacia_mearnsii",14477,1229.2,558,792.830766042688,730,323,138,226.345375423085,221,17.9125003814697,11.8741666793823,14.2909108711193,13.9499998092651,44.619747,-43.668482,-33.4642986088692,-37.2711,-2.89287660000004,-38.43934,"Acacia mearnsii",1,1,34,1.78e+13,6.75e+12,-25.13916559,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",25.13916559,1,0,5,"Acacia mearnsii","Acacia mearnsii","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,4,4,1,"Y","Y","1","Acacia mearnsii",0,9638,671.199999999999,6.03833370208738,185
"14","Acacia_melanoxylon",26301,1604,616,992.621763431048,934,435,157,267.526938139234,250,17.7666664123535,9.76666641235352,13.1116153733648,13.0208330154419,51.186889,-46.895804,-32.6887728914528,-37.538573,11.4083,-41.971218,"Acacia melanoxylon",1,1,26,1.71e+13,6.34e+12,-34.37437305,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",34.37437305,1,0,4,"Acacia melanoxylon","Acacia melanoxylon","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,12,2,8,"Y","Y","1","Acacia melanoxylon",0,9784,988,7.99999999999998,278
"15","Acacia_paradoxa",8465,942.799999999999,483,675.834494979327,650,294,89,211.070761961016,219,16.3658332824707,12.1958332061768,14.1514107086218,14.0708332061768,37.874742,-43.662611,-36.3067732904903,-37.132,-32.3844224,-38.2164128,"Acacia paradoxa",1,1,8,4.29e+12,6.27e+12,-26.80596132,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",26.80596132,1,0,2,"Acacia paradoxa","Acacia paradoxa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,11016,459.799999999999,4.17000007629386,205
"16","Acacia_podalyriifolia",1055,1476,644,1007.21990521327,958,278.3,113,192.672037914692,199,20.8570829391479,15.4233332633972,18.1932385340686,17.970832824707,3.083333,-37.25,-28.9449246123223,-28.275478,-21.2967694,-34.7708583,"Acacia podalyriifolia",1,1,13,2.26e+13,6.17e+12,-11.17061857,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",11.17061857,1,0,1,"Acacia podalyriifolia","Acacia podalyriifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"1","Acacia podalyriifolia",0,9628,832,5.43374967575073,165.3
"17","Acacia_pycnantha",10623,868.9,407,605.896168690577,592,290,81,187.041984373529,179,16.3166675567627,12.6750001907349,14.5248548783208,14.5249996185303,44.24611,-42.900698,-35.6434225700838,-36.7122,-33.1573062,-38.0195,"Acacia pycnantha",1,1,13,9.77e+12,4.54e+12,-28.33979238,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",28.33979238,1,0,4,"Acacia pycnantha","Acacia pycnantha","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,4,2,2,"Y","Y","1","Acacia pycnantha",0,9651,461.9,3.6416673660278,209
"18","Acacia_retinodes",712,1001.35,306.55,661.429775280899,639.5,311.399999999999,81,150.814606741573,133,17.8477082252502,13.5647916316986,15.1613120342908,14.9625000953674,51.482003,-37.75873,-7.28921635294944,-34.516865,43.25549635,-35.575047,"Acacia retinodes",1,1,17,8.82e+12,1.28e+12,-36.69836819,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",36.69836819,1,0,1,"Acacia retinodes","Acacia retinodes","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,5,0,4,"N","Y","1","Acacia retinodes",0,9630,694.8,4.2829165935516,230.399999999999
"19","Acacia_saligna",3901,1145,343,616.342988977185,561,273,71,169.509356575237,164,19.625,14.2458333969116,17.0285418106329,17.1333332061768,44.06409,-38.8167,-16.462572648808,-33.420372,38.326178,-37.658995,"Acacia saligna",1,1,21,2.03e+13,6.27e+12,-26.80241625,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",26.80241625,1,0,6,"Acacia saligna","Acacia saligna","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,8,8,0,"Y","N","1","Acacia saligna",0,10016,802,5.3791666030884,202
"20","Acacia_verticillata",7369,1384.6,621,940.656669833084,915,419,162,278.407653684353,259,14.7041664123535,10.2583332061768,12.7767862057747,13.0083332061768,40.0167,-43.632,-38.7517912392455,-38.1965,-36.9718274,-42.9667318,"Acacia verticillata",1,1,6,2.28e+12,2.08e+12,-36.84160801,"Acacieae","Acacia","Caesalpinioideae","Acacieae","1",36.84160801,1,0,1,"Acacia verticillata","Acacia verticillata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,3,0,3,"N","Y","1","Acacia ulicifolia",0,10782,763.599999999999,4.4458332061767,257
