"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.817001956","0.233446594","24.9179132",0
"EFN1"," 0.308561329","0.134272885"," 2.2980167",0.0223
"abs_med_lat","-0.011589883","0.006955483","-1.6662944",0.0968
"fixer1","-0.163958607","0.214198586","-0.7654514",0.4447
"woody","-0.132104110","0.074359196","-1.7765672",0.0768
"uses_num_uses"," 0.018540338","0.010661010"," 1.7390789",0.0832
"annual","-0.318183404","0.068495961","-4.6452871",0
"EFN1:abs_med_lat","-0.005092256","0.004264144","-1.1942035",0.2334
"abs_med_lat:fixer1"," 0.017569638","0.007372128"," 2.3832520",0.0178
