"","Value","Std.Error","t.value","p.value"
"(Intercept)",7.166,0.232,30.943,0
"EFN1",0.008,0.082,0.102,0.9186
"abs_med_lat",-0.038,0.004,-9.307,0
"fixer1",-0.462,0.102,-4.546,0
"woody",0.097,0.041,2.4,0.0165
"uses_num_uses",-0.015,0.008,-1.965,0.0495
"annual",-0.327,0.043,-7.537,0
"EFN1:abs_med_lat",0,0.003,0.146,0.8843
"abs_med_lat:fixer1",0.028,0.004,6.641,0
