"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.563090869","0.249720738","30.2861946",0
"EFN1"," 0.205285787","0.133064257"," 1.5427568",0.1241
"abs_med_lat","-0.033777615","0.008086926","-4.1768175",0
"fixer1","-0.123707550","0.228359215","-0.5417235",0.5885
"woody","-0.030386639","0.070596992","-0.4304240",0.6672
"uses_num_uses"," 0.039249815","0.010162983"," 3.8620368",1e-04
"annual","-0.115578637","0.065379626","-1.7678082",0.0782
"EFN1:abs_med_lat","-0.007092171","0.004308704","-1.6460102",0.1009
"abs_med_lat:fixer1"," 0.015847733","0.008389628"," 1.8889672",0.06
