"","Value","Std.Error","t.value","p.value"
"(Intercept)",4.605,0.179,25.7948,0
"EFN1",0.033,0.056,0.5885,0.556
"abs_med_lat",-0.006,0.003,-2.1232,0.034
"fixer1",-0.274,0.071,-3.8698,0
"woody",0.148,0.028,5.3443,0
"uses_num_uses",-0.017,0.005,-3.3207,0.001
"annual",-0.249,0.029,-8.4994,0
"EFN1:abs_med_lat",0.001,0.002,0.4337,0.665
"abs_med_lat:fixer1",0.016,0.003,5.3331,0
