"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 6.99077169","1.70108538"," 4.1095948",1e-04
"EFN1"," 1.26689438","1.04548828"," 1.2117729",0.2267
"abs_med_lat","-0.03310094","0.04824226","-0.6861399",0.4932
"fixer1","-0.19180373","1.57642759","-0.1216699",0.9033
"woody","-1.01709009","0.56365836","-1.8044442",0.0723
"uses_num_uses"," 0.38329889","0.08222055"," 4.6618381",0
"annual","-0.52912954","0.52827595","-1.0016158",0.3174
"EFN1:abs_med_lat","-0.02241273","0.03377572","-0.6635750",0.5075
"abs_med_lat:fixer1"," 0.00588059","0.05085695"," 0.1156300",0.908
