"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 2.91622116","0.53981047"," 5.402306",0
"EFN1"," 0.86393697","0.24961474"," 3.461082",5e-04
"abs_med_lat"," 0.03008059","0.01191486"," 2.524629",0.0116
"fixer1"," 0.87709741","0.28872130"," 3.037869",0.0024
"woody","-0.43248810","0.11983594","-3.609002",3e-04
"uses_num_uses"," 0.73977863","0.02348649","31.498045",0
"annual","-0.13370305","0.13190768","-1.013611",0.3109
"EFN1:abs_med_lat"," 0.01905889","0.01031894"," 1.846982",0.0649
"abs_med_lat:fixer1","-0.02252407","0.01231598","-1.828849",0.0675
