"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.621072710","0.274887967","20.44859499",0
"EFN1"," 0.280500720","0.163098412"," 1.71982496",0.0866
"abs_med_lat","-0.005985803","0.007545834","-0.79325939",0.4283
"fixer1","-0.069928540","0.252393562","-0.27706150",0.7819
"woody","-0.004509882","0.088193129","-0.05113643",0.9593
"uses_num_uses"," 0.010271895","0.012801219"," 0.80241536",0.423
"annual","-0.233810843","0.081781925","-2.85895499",0.0046
"EFN1:abs_med_lat","-0.005386459","0.005258522","-1.02432958",0.3066
"abs_med_lat:fixer1"," 0.007318010","0.007960331"," 0.91930979",0.3587
