"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.0679838465","0.165631006","42.6730719",0
"EFN1"," 0.2054938231","0.069587464"," 2.9530293",0.0032
"abs_med_lat","-0.0309823414","0.003364909","-9.2074825",0
"fixer1","-0.0637460721","0.082227045","-0.7752446",0.4383
"woody"," 0.1001806247","0.033659263"," 2.9763166",0.0029
"uses_num_uses"," 0.0936076126","0.006545841","14.3003192",0
"annual","-0.0964829499","0.036675077","-2.6307497",0.0086
"EFN1:abs_med_lat","-0.0007925159","0.002869966","-0.2761412",0.7825
"abs_med_lat:fixer1"," 0.0122586813","0.003473850"," 3.5288461",4e-04
