"","Value","Std.Error","t.value","p.value"
"(Intercept)",23.516,1.36,17.293,0
"EFN1",-0.865,0.473,-1.827,0.0678
"abs_med_lat",-0.283,0.024,-11.822,0
"fixer1",0.36,0.589,0.612,0.5404
"woody",0.392,0.234,1.674,0.0943
"uses_num_uses",-0.119,0.044,-2.676,0.0075
"annual",3.099,0.25,12.395,0
"EFN1:abs_med_lat",0.015,0.019,0.774,0.4391
"abs_med_lat:fixer1",-0.005,0.025,-0.213,0.831
