"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.492225809","0.272908144","27.45328773",0
"EFN1","-0.002380607","0.165718425","-0.01436537",0.9885
"abs_med_lat","-0.023062690","0.007653250","-3.01345067",0.0028
"fixer1"," 0.037380010","0.252130932"," 0.14825634",0.8823
"woody"," 0.014347583","0.089439379"," 0.16041684",0.8727
"uses_num_uses"," 0.032201296","0.013023838"," 2.47248892",0.014
"annual","-0.055619231","0.083518755","-0.66594900",0.506
"EFN1:abs_med_lat"," 0.002952292","0.005350161"," 0.55181357",0.5815
"abs_med_lat:fixer1","-0.001626692","0.008070143","-0.20156922",0.8404
