"","Value","Std.Error","t.value","p.value"
"(Intercept)",5.633,0.163,34.49,0
"EFN1",0.129,0.059,2.18,0.0293
"abs_med_lat",-0.008,0.003,-2.771,0.0056
"fixer1",-0.197,0.073,-2.708,0.0068
"woody",0.045,0.029,1.557,0.1197
"uses_num_uses",0.05,0.006,8.966,0
"annual",-0.298,0.031,-9.535,0
"EFN1:abs_med_lat",0.001,0.002,0.393,0.6944
"abs_med_lat:fixer1",0.012,0.003,3.981,1e-04
