"","Value","Std.Error","t.value","p.value"
"(Intercept)",7.83,0.165,47.521,0
"EFN1",0.123,0.056,2.211,0.0271
"abs_med_lat",-0.033,0.003,-11.646,0
"fixer1",-0.2,0.07,-2.869,0.0042
"woody",0.096,0.028,3.469,5e-04
"uses_num_uses",0.051,0.005,9.758,0
"annual",-0.164,0.029,-5.581,0
"EFN1:abs_med_lat",-0.001,0.002,-0.556,0.5782
"abs_med_lat:fixer1",0.018,0.003,6.098,0
