"","Value","Std.Error","t.value","p.value"
"(Intercept)",27.335,0.887,30.803,0
"EFN1",-0.22,0.34,-0.649,0.5166
"abs_med_lat",-0.21,0.017,-12.4,0
"fixer1",1.908,0.414,4.612,0
"woody",0.054,0.167,0.322,0.7472
"uses_num_uses",0.279,0.032,8.753,0
"annual",2.449,0.18,13.621,0
"EFN1:abs_med_lat",0.011,0.014,0.806,0.4206
"abs_med_lat:fixer1",-0.075,0.017,-4.287,0
