"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,107.158025657513,0.14411143912646,80.7788632922453,142.151572760726,"0"
"2",-50,298.483790333463,0.140929907628524,226.413967083394,393.494156917518,"1"
"3",-40,235.94524922429,0.14411143912646,177.86245047533,312.99557878988,"0"
"4",-40,431.192445879235,0.140929907628524,327.079712231074,568.44530073441,"1"
"5",-30,440.748481306298,0.14411143912646,332.249134857122,584.679396854851,"0"
"6",-30,583.100094558128,0.140929907628524,442.308794953703,768.706668627935,"1"
"7",-20,698.495263049226,0.14411143912646,526.546220107389,926.596021148345,"0"
"8",-20,738.136455802701,0.140929907628524,559.911153032652,973.09264949255,"1"
"9",-10,939.1374501669,0.14411143912646,707.949360154534,1245.82237084509,"0"
"10",-10,874.685191380644,0.140929907628524,663.48977915464,1153.10620910451,"1"
"11",0,1071.2427774955,0.14411143912646,807.53423129205,1421.06804128932,"0"
"12",0,970.260760381746,0.140929907628524,735.988334971076,1279.10443468314,"1"
"13",10,1036.6680355314,0.14411143912646,781.470776526572,1375.2025644122,"0"
"14",10,1007.5039027035,0.140929907628524,764.239006775728,1328.20244054967,"1"
"15",20,851.107783252392,0.14411143912646,641.590014825831,1129.04571762926,"0"
"16",20,979.324414732601,0.140929907628524,742.863542283196,1291.05314058572,"1"
"17",30,592.819485089342,0.14411143912646,446.884718612334,786.41073920108,"0"
"18",30,891.103196508562,0.140929907628524,675.943606776082,1174.75022896522,"1"
"19",40,350.310722743396,0.14411143912646,264.074499400897,464.708265082044,"0"
"20",40,759.016115034712,0.140929907628524,575.74935474132,1000.61851244493,"1"
"21",50,175.621404278498,0.14411143912646,132.388566515272,232.972366516211,"0"
"22",50,605.195328671689,0.140929907628524,459.06906727435,797.835036066909,"1"
"23",60,74.6955128477109,0.14411143912646,56.3076688269155,99.0880950289942,"0"
"24",60,451.712088330095,0.140929907628524,342.644824310499,595.496549974542,"1"
"25",70,26.952846301493,0.14411143912646,20.317846221652,35.7545733847393,"0"
"26",70,315.60903983039,0.140929907628524,239.404272759827,416.070544081681,"1"
"27",80,8.25102322341376,0.14411143912646,6.21986335503698,10.9454790800478,"0"
"28",80,206.423306514049,0.140929907628524,156.581768390515,272.129903182102,"1"
