"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,58.9173199282655,0.126129496514799,46.007607267142,75.4494918062978,"0"
"2",-50,82.7229230174189,0.133509544213872,63.6689374621495,107.47912978152,"1"
"3",-40,78.9113387770275,0.126129496514799,61.6206217084924,101.053822810175,"0"
"4",-40,109.207788822552,0.133509544213872,84.0534113556232,141.89003095962,"1"
"5",-30,101.189801792395,0.126129496514799,79.0175226227657,129.583611924504,"0"
"6",-30,137.736738560852,0.133509544213872,106.011145082781,178.95674209128,"1"
"7",-20,124.232431185793,0.126129496514799,97.0111490270982,159.091992138158,"0"
"8",-20,165.964199643752,0.133509544213872,127.736833547923,215.631739086888,"1"
"9",-10,146.027324682774,0.126129496514799,114.030438120003,187.002522357824,"0"
"10",-10,191.050190890877,0.133509544213872,147.044642673006,248.225129293615,"1"
"11",0,164.336554965126,0.126129496514799,128.327827702892,210.449313926923,"0"
"12",0,210.111089797811,0.133509544213872,161.715149180887,272.990318344532,"1"
"13",10,177.065982517896,0.126129496514799,138.268037208287,226.750612781164,"0"
"14",10,220.759252111202,0.133509544213872,169.91066688854,286.82511984175,"1"
"15",20,182.657283332779,0.126129496514799,142.634195959514,233.910829938575,"0"
"16",20,221.593640361237,0.133509544213872,170.55286631009,287.909212614861,"1"
"17",30,180.401340332453,0.126129496514799,140.872565598485,231.02187040807,"0"
"18",30,212.502532247521,0.133509544213872,163.555758702662,276.097439612035,"1"
"19",40,170.586017813029,0.126129496514799,133.207934820578,218.452373069985,"0"
"20",40,194.688081894241,0.133509544213872,149.844600004525,252.951719518181,"1"
"21",50,154.43580905311,0.126129496514799,120.596491143007,197.770423433017,"0"
"22",50,170.405285991985,0.133509544213872,131.154982214045,221.401894185157,"1"
"23",60,133.860822591984,0.126129496514799,104.529808242584,171.422105581773,"0"
"24",60,142.493547247998,0.133509544213872,109.672294178752,185.137104674986,"1"
"25",70,111.08614011333,0.126129496514799,86.7454173641883,142.256858059373,"0"
"26",70,113.83498975195,0.133509544213872,87.6148058984226,147.901998514383,"1"
"27",80,88.2606597056145,0.126129496514799,68.9213591829841,113.02655873324,"0"
"28",80,86.8809951869058,0.133509544213872,66.8692600240882,112.88157401395,"1"
