"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,107.158025657513,0.14411143912646,80.7788632922453,142.151572760726,"0"
"2",-50,128.120086400153,0.150075747184404,95.4577038275867,171.958426412923,"1"
"3",-40,235.94524922429,0.14411143912646,177.86245047533,312.99557878988,"0"
"4",-40,293.009583196539,0.150075747184404,218.310983057426,393.267506025683,"1"
"5",-30,440.748481306298,0.14411143912646,332.249134857122,584.679396854851,"0"
"6",-30,559.994947255926,0.150075747184404,417.232249228622,751.606189435117,"1"
"7",-20,698.495263049226,0.14411143912646,526.546220107389,926.596021148345,"0"
"8",-20,894.384108969352,0.150075747184404,666.373679420142,1200.41195965749,"1"
"9",-10,939.1374501669,0.14411143912646,707.949360154534,1245.82237084509,"0"
"10",-10,1193.71794349237,0.150075747184404,889.396636431201,1602.1676609139,"1"
"11",0,1071.2427774955,0.14411143912646,807.53423129205,1421.06804128932,"0"
"12",0,1331.42605607175,0.150075747184404,991.998036372513,1786.99481026098,"1"
"13",10,1036.6680355314,0.14411143912646,781.470776526572,1375.2025644122,"0"
"14",10,1240.99509130584,0.150075747184404,924.621151966536,1665.62144221953,"1"
"15",20,851.107783252392,0.14411143912646,641.590014825831,1129.04571762926,"0"
"16",20,966.63108584675,0.150075747184404,720.202323428868,1297.37939705155,"1"
"17",30,592.819485089342,0.14411143912646,446.884718612334,786.41073920108,"0"
"18",30,629.200607548141,0.150075747184404,468.794916792972,844.49167505326,"1"
"19",40,350.310722743396,0.14411143912646,264.074499400897,464.708265082044,"0"
"20",40,342.25924746553,0.150075747184404,255.005150205536,459.368731891313,"1"
"21",50,175.621404278498,0.14411143912646,132.388566515272,232.972366516211,"0"
"22",50,155.581849867404,0.150075747184404,115.918483688854,208.816672180909,"1"
"23",60,74.6955128477109,0.14411143912646,56.3076688269155,99.0880950289942,"0"
"24",60,59.1017516682135,0.150075747184404,44.0346058526321,79.3243627964117,"1"
"25",70,26.952846301493,0.14411143912646,20.317846221652,35.7545733847393,"0"
"26",70,18.7620140391496,0.150075747184404,13.9789070525949,25.1817377053024,"1"
"27",80,8.25102322341376,0.14411143912646,6.21986335503698,10.9454790800478,"0"
"28",80,4.97732778515776,0.150075747184404,3.70842929409576,6.68040022236533,"1"
