"","x","predicted","std.error","conf.low","conf.high","group"
"1",-50,8.69233299441221,0.677049790665777,7.36470060593355,10.0199653828909,"0"
"2",-50,3.46469267502036,0.6558813720179,2.17856960919014,4.75081574085059,"1"
"3",-40,7.0366433106646,0.677049790665777,5.70901092218595,8.36427569914326,"0"
"4",-40,3.96361908593154,0.6558813720179,2.67749602010131,5.24974215176177,"1"
"5",-30,5.75334241565391,0.677049790665777,4.42571002717525,7.08097480413256,"0"
"6",-30,4.42699815236991,0.6558813720179,3.14087508653969,5.71312121820014,"1"
"7",-20,4.84243030938012,0.677049790665777,3.51479792090147,6.17006269785877,"0"
"8",-20,4.85482987433547,0.6558813720179,3.56870680850525,6.1409529401657,"1"
"9",-10,4.30390699184324,0.677049790665777,2.97627460336459,5.6315393803219,"0"
"10",-10,5.24711425182823,0.6558813720179,3.96099118599801,6.53323731765846,"1"
"11",0,4.13777246304328,0.677049790665777,2.81014007456462,5.46540485152193,"0"
"12",0,5.60385128484818,0.6558813720179,4.31772821901796,6.88997435067841,"1"
"13",10,4.34402672298022,0.677049790665777,3.01639433450157,5.67165911145888,"0"
"14",10,5.92504097339533,0.6558813720179,4.6389179075651,7.21116403922555,"1"
"15",20,4.92266977165408,0.677049790665777,3.59503738317542,6.25030216013273,"0"
"16",20,6.21068331746966,0.6558813720179,4.92456025163944,7.49680638329989,"1"
"17",30,5.87370160906484,0.677049790665777,4.54606922058619,7.20133399754349,"0"
"18",30,6.46077831707119,0.6558813720179,5.17465525124097,7.74690138290142,"1"
"19",40,7.19712223521251,0.677049790665777,5.86948984673386,8.52475462369117,"0"
"20",40,6.67532597219992,0.6558813720179,5.38920290636969,7.96144903803014,"1"
"21",50,8.8929316500971,0.677049790665777,7.56529926161844,10.2205640385758,"0"
"22",50,6.85432628285583,0.6558813720179,5.56820321702561,8.14044934868606,"1"
"23",60,10.9611298537186,0.677049790665777,9.63349746523994,12.2887622421972,"0"
"24",60,6.99777924903895,0.6558813720179,5.71165618320872,8.28390231486917,"1"
"25",70,13.401716846077,0.677049790665777,12.0740844575983,14.7293492345556,"0"
"26",70,7.10568487074925,0.6558813720179,5.81956180491902,8.39180793657948,"1"
"27",80,16.2146926271723,0.677049790665777,14.8870602386937,17.542325015651,"0"
"28",80,7.17804314798675,0.6558813720179,5.89192008215652,8.46416621381697,"1"
